,PLAYER,DIST_MI_DEF,AVG_SPEED_DEF
170,Georgios Papagiannis,0.24,3.91
171,Gerald Green,0.76,4.08
172,Gian Clavell,0.33,4.10
173,Giannis Antetokounmpo,1.19,3.74
174,Glenn Robinson III,0.51,4.31
175,Goran Dragic,1.08,4.14
176,Gordon Hayward,0.19,4.61
177,Gorgui Dieng,0.55,4.08
178,Greg Monroe,0.65,3.91
179,Guerschon Yabusele,0.24,4.13
180,Harrison Barnes,1.11,4.05
181,Hassan Whiteside,0.79,3.92
182,Henry Ellenson,0.31,4.22
183,Ian Clark,0.67,4.05
184,Ian Mahinmi,0.50,4.08
185,Ike Anigbogu,0.08,3.93
186,Iman Shumpert,0.73,4.40
187,Isaiah Canaan,0.71,4.12
188,Isaiah Hicks,0.47,4.17
189,Isaiah Taylor,0.59,4.06
190,Isaiah Thomas,0.84,3.84
191,Isaiah Whitehead,0.36,3.88
192,Ish Smith,0.87,4.21
193,Ivan Rabb,0.48,4.14
194,Ivica Zubac,0.32,3.92
195,J.J. Barea,0.71,3.83
196,JJ Redick,1.06,4.08
197,JR Smith,0.92,3.98
198,JaKarr Sampson,0.53,4.14
199,JaMychal Green,0.93,4.10
200,JaVale McGee,0.33,4.05
201,Jabari Bird,0.30,4.26
202,Jabari Parker,0.83,4.08
203,Jack Cooley,0.38,4.04
204,Jacob Pullen,0.07,3.67
205,Jacob Wiley,0.28,4.01
206,Jae Crowder,0.87,4.02
207,Jahlil Okafor,0.39,3.93
208,Jake Layman,0.15,4.16
209,Jakob Poeltl,0.68,4.37
210,Jalen Jones,0.40,4.17
211,Jamal Crawford,0.63,3.83
212,Jamal Murray,1.06,4.07
213,Jameel Warney,0.30,4.19
214,Jameer Nelson,0.64,3.78
215,Jamel Artis,0.61,4.08
216,James Ennis III,0.76,4.21
217,James Harden,1.00,3.42
218,James Johnson,0.87,3.98
219,James Michael McAdoo,0.22,4.02
220,James Webb III,0.41,4.02
221,James Young,0.34,3.94
222,Jamil Wilson,0.60,3.71
223,Jared Dudley,0.46,3.66
224,Jarell Eddie,0.09,4.32
225,Jarell Martin,0.78,4.24
226,Jarrett Allen,0.65,4.01
227,Jarrett Jack,0.80,3.91
228,Jason Smith,0.30,4.18
229,Jason Terry,0.56,4.17
230,Jawun Evans,0.63,4.48
231,Jaylen Brown,1.07,4.22
232,Jaylen Morris,0.53,4.21
233,Jayson Tatum,0.99,3.89
234,Jeff Green,0.76,3.86
