,PLAYER,10to15FREQ,10to15DFGM,10to15DFGA,10to15DFG%
0,DeMarcus Cousins,7.099999999999994,0.5999999999999996,1.1999999999999993,0.5
1,Anthony Davis,6.400000000000006,0.2999999999999998,1.1000000000000005,0.27272727272727243
2,Clint Capela,5.700000000000003,0.2999999999999998,0.8999999999999986,0.33333333333333365
3,Nikola Jokic,7.200000000000003,0.5000000000000009,1.200000000000001,0.416666666666667
4,Rudy Gobert,10.599999999999998,0.5999999999999996,1.700000000000002,0.35294117647058765
5,Karl-Anthony Towns,6.799999999999997,0.39999999999999947,1.0999999999999996,0.36363636363636326
6,Kristaps Porzingis,3.799999999999997,0.19999999999999973,0.5,0.39999999999999947
7,Al Horford,8.299999999999997,0.3999999999999999,1.3000000000000007,0.30769230769230743
8,Steven Adams,8.100000000000001,0.5000000000000004,1.3000000000000007,0.38461538461538475
9,Nikola Vucevic,7.800000000000004,0.5999999999999999,1.2000000000000002,0.49999999999999983
10,Jrue Holiday,8.0,0.30000000000000027,1.200000000000001,0.25
11,Joel Embiid,9.200000000000003,0.5,1.2000000000000002,0.41666666666666663
12,Paul Millsap,7.200000000000003,0.49999999999999956,0.9999999999999991,0.5
13,Draymond Green,7.399999999999999,0.3999999999999999,1.0,0.3999999999999999
14,Tobias Harris,7.5,0.40000000000000036,1.0,0.40000000000000036
15,Blake Griffin,8.699999999999996,0.5,1.2999999999999998,0.3846153846153847
16,Myles Turner,4.799999999999997,0.10000000000000053,0.7000000000000002,0.14285714285714357
17,Kemba Walker,13.299999999999997,0.8000000000000003,1.8000000000000007,0.4444444444444444
18,LaMarcus Aldridge,8.100000000000001,0.6000000000000001,1.1000000000000005,0.5454545454545453
19,Andrew Wiggins,8.199999999999996,0.3999999999999999,1.1000000000000005,0.36363636363636337
20,Luol Deng,-3.552713678800501e-15,0.0,0.0,
21,Jusuf Nurkic,6.5000000000000036,0.30000000000000027,0.7999999999999998,0.37500000000000044
22,Taj Gibson,5.799999999999997,0.20000000000000018,0.5999999999999996,0.3333333333333338
23,Thaddeus Young,7.799999999999997,0.3999999999999999,0.9999999999999991,0.40000000000000024
24,Andre Drummond,5.9999999999999964,0.20000000000000018,0.7000000000000002,0.2857142857142859
25,Marcin Gortat,8.100000000000001,0.3999999999999999,1.0,0.3999999999999999
26,James Harden,8.399999999999999,0.2999999999999998,1.0000000000000009,0.29999999999999954
27,Marc Gasol,5.399999999999999,0.19999999999999973,0.7000000000000006,0.2857142857142851
28,Giannis Antetokounmpo,7.699999999999996,0.30000000000000004,0.9000000000000004,0.33333333333333326
29,Enes Kanter,8.400000000000002,0.6000000000000008,1.0000000000000009,0.6000000000000002
30,Paul George,6.600000000000001,0.2999999999999994,0.8000000000000007,0.3749999999999989
31,Dragan Bender,6.100000000000001,0.30000000000000027,0.7999999999999989,0.37500000000000083
32,DeAndre Jordan,9.700000000000003,0.5000000000000002,1.1999999999999993,0.4166666666666671
33,Danilo Gallinari,6.699999999999996,0.3999999999999999,0.7999999999999998,0.5
34,Robin Lopez,7.300000000000004,0.3999999999999997,0.9000000000000004,0.4444444444444439
35,Derrick Favors,7.900000000000006,0.3999999999999999,0.9000000000000004,0.4444444444444442
36,Brook Lopez,8.399999999999999,0.40000000000000013,1.0,0.40000000000000013
37,Kevin Love,8.0,0.49999999999999956,0.9000000000000004,0.5555555555555548
38,Kevin Durant,7.0,0.2999999999999998,0.8000000000000007,0.37499999999999944
39,John Henson,8.8,0.40000000000000013,1.1000000000000005,0.3636363636363636
40,Jonas Valanciunas,9.300000000000004,0.4999999999999998,1.2000000000000006,0.41666666666666624
41,Robert Covington,8.900000000000006,0.30000000000000027,0.9999999999999991,0.30000000000000054
42,Al-Farouq Aminu,6.799999999999997,0.30000000000000027,0.8999999999999995,0.3333333333333338
43,Bradley Beal,6.800000000000004,0.30000000000000027,0.7999999999999989,0.37500000000000083
44,Ben Simmons,8.300000000000004,0.3999999999999999,1.0,0.3999999999999999
45,Lonzo Ball,8.0,0.3999999999999999,1.0,0.3999999999999999
46,Dario Saric,5.700000000000003,0.3999999999999999,0.7000000000000011,0.5714285714285704
47,Julius Randle,6.100000000000001,0.30000000000000004,0.7000000000000002,0.42857142857142855
48,Nikola Mirotic,5.399999999999999,0.30000000000000004,0.6000000000000005,0.4999999999999996
49,DeMarre Carroll,8.300000000000004,0.30000000000000027,0.9000000000000004,0.3333333333333335
50,Dwight Howard,10.199999999999996,0.5000000000000004,1.2000000000000006,0.4166666666666668
51,Josh Richardson,9.0,0.30000000000000027,1.0000000000000009,0.3
52,Victor Oladipo,5.299999999999997,0.20000000000000018,0.5999999999999996,0.3333333333333338
53,LeBron James,6.299999999999997,0.2999999999999998,0.7000000000000002,0.4285714285714282
54,Aaron Gordon,8.799999999999997,0.19999999999999973,0.9000000000000004,0.22222222222222185
55,CJ McCollum,13.399999999999999,0.7000000000000006,1.4999999999999991,0.46666666666666734
56,Carmelo Anthony,7.0,0.3999999999999999,0.7999999999999998,0.5
57,Danny Green,9.200000000000003,0.40000000000000013,1.0,0.40000000000000013
58,Kris Dunn,7.099999999999994,0.19999999999999973,0.7999999999999998,0.24999999999999972
59,John Collins,5.399999999999999,0.19999999999999996,0.5999999999999996,0.3333333333333335
60,Brandon Ingram,6.099999999999994,0.30000000000000027,0.7000000000000002,0.4285714285714288
61,John Wall,9.799999999999997,0.40000000000000013,1.0000000000000009,0.3999999999999998
62,Kyle Lowry,12.0,0.5,1.3000000000000007,0.3846153846153844
