,PLAYER,DREB%,%DREB,STL%,%BLK
517,Alfonzo McKinnie,9.8,17.1,10.0,20.0
518,Alex Poythress,10.2,18.2,21.4,11.1
519,Omari Johnson,10.3,15.9,13.3,0.0
520,Aaron Brooks,5.7,8.2,20.7,0.0
521,Josh Gray,10.4,14.3,57.1,22.2
522,Kendrick Perkins,9.1,12.5,20.0,0.0
523,Markel Brown,10.8,19.0,0.0,0.0
524,Kobi Simmons,6.2,9.1,18.6,8.3
525,Marquis Teague,7.2,11.9,33.3,0.0
526,Furkan Korkmaz,12.3,17.3,18.2,10.0
527,Trey McKinney-Jones,0.0,0.0,0.0,0.0
528,Erik McCree,20.0,33.3,33.3,0.0
529,London Perrantes,6.4,8.6,25.0,50.0
530,Walter Lemon Jr.,6.5,9.5,0.0,25.0
531,Ike Anigbogu,13.8,26.7,50.0,75.0
532,David Stockton,0.0,0.0,0.0,0.0
533,Jeremy Evans,0.0,0.0,0.0,0.0
534,Briante Weber,13.0,18.4,48.6,20.0
535,Jeremy Lin,0.0,0.0,0.0,0.0
536,Jordan Crawford,3.6,5.6,25.0,16.7
537,Edmond Sumner,50.0,100,0.0,0.0
538,Tyler Lydon,0.0,0.0,0.0,0.0
539,Ben Moore,16.7,33.3,0.0,0.0
