,PLAYER,TEAM,AGE,GP,MIN,SCREEN_AST,DEFL,LB_REC,CHARGES_DRAWN,CONT_2PT,CONT_3PT,CONT_ALL
61,CJ Miles,TOR,31,70,19.0,0.2,1.1,0.5,0.09,1.6,1.7,3.3
62,Caleb Swanigan,POR,21,27,7.0,0.6,0.1,0.3,0.00,1.3,0.8,2.1
63,Cameron Payne,CHI,23,25,23.0,0.1,2.1,1.2,0.00,2.0,3.1,5.2
64,Caris LeVert,BKN,23,71,26.0,0.2,2.3,1.1,0.08,3.4,2.8,6.1
65,Carmelo Anthony,OKC,34,78,32.0,0.8,1.4,0.7,0.00,3.8,3.4,7.1
66,Cedi Osman,CLE,23,61,11.0,0.1,0.8,0.4,0.02,1.6,1.1,2.7
67,Chandler Parsons,MEM,29,36,19.0,0.3,0.9,0.4,0.08,1.7,1.6,3.3
68,Channing Frye,LAL,35,53,13.0,1.3,0.5,0.3,0.04,4.3,1.4,5.6
69,Charles Cooke,NOP,23,13,3.0,0.0,0.1,0.1,0.00,0.4,0.1,0.5
70,Cheick Diallo,NOP,21,52,11.0,1.3,0.4,0.3,0.00,3.3,0.9,4.3
71,Chinanu Onuaku,HOU,21,1,22.0,1.0,0.0,1.0,0.00,2.0,3.0,5.0
72,Chris Boucher,GSW,25,1,1.0,-,-,-,-,-,-,-
73,Chris McCullough,WAS,23,19,5.0,0.2,0.1,0.2,0.00,1.1,0.5,1.6
74,Chris Paul,HOU,33,58,32.0,0.5,3.0,1.6,0.03,2.3,2.0,4.3
75,Clint Capela,HOU,24,74,27.0,3.0,1.0,1.2,0.11,10.4,2.6,12.9
76,Cody Zeller,CHA,25,33,19.0,3.9,0.7,0.6,0.06,4.5,0.8,5.3
77,Cole Aldrich,MIN,29,21,2.0,0.3,0.4,0.1,0.00,0.3,0.2,0.6
78,Corey Brewer,OKC,32,72,17.0,0.1,1.8,0.9,0.15,2.2,2.3,4.5
79,Cory Joseph,IND,26,82,27.0,0.3,1.5,0.9,0.07,3.0,3.5,6.5
80,Courtney Lee,NYK,32,76,30.0,0.3,1.9,0.8,0.03,2.4,2.8,5.2
81,Cristiano Felicio,CHI,25,55,18.0,2.5,0.6,0.5,0.00,4.1,1.5,5.6
82,D'Angelo Russell,BKN,22,48,26.0,0.2,1.7,1.0,0.00,2.4,1.9,4.3
83,D.J. Augustin,ORL,30,75,23.0,0.3,0.9,0.8,0.11,1.4,1.4,2.9
84,D.J. Wilson,MIL,22,22,3.0,0.2,0.1,0.0,0.00,0.6,0.4,1.1
85,Dakari Johnson,OKC,22,31,5.0,0.7,0.4,0.1,0.00,1.4,0.6,2.0
86,Damian Jones,GSW,23,15,6.0,0.4,0.2,0.1,0.00,2.1,0.5,2.7
87,Damian Lillard,POR,27,73,37.0,0.2,1.8,1.7,0.11,2.8,1.9,4.7
88,Damien Wilkins,IND,38,19,8.0,0.1,0.2,0.1,0.00,0.7,0.7,1.4
89,Damion Lee,ATL,25,15,27.0,0.0,1.7,1.3,0.00,1.9,2.8,4.7
90,Damyean Dotson,NYK,24,44,11.0,0.0,0.3,0.3,0.00,0.8,1.1,1.9
91,Daniel Hamilton,OKC,22,6,5.0,0.0,0.2,0.2,0.00,0.3,0.5,0.8
92,Daniel Theis,BOS,26,63,15.0,1.8,0.9,0.6,0.00,5.1,1.3,6.5
93,Danilo Gallinari,LAC,29,21,32.0,1.2,1.8,0.9,0.10,5.3,3.4,8.7
94,Danny Green,SAS,31,70,26.0,0.2,2.0,0.7,0.04,5.5,2.9,8.4
95,Dante Cunningham,BKN,31,73,21.0,1.0,1.0,0.6,0.01,4.6,1.6,6.3
96,Dante Exum,UTA,22,14,17.0,0.1,1.0,0.7,0.14,2.0,2.1,4.1
97,Danuel House,PHX,25,23,18.0,0.1,0.5,0.4,0.00,3.3,2.5,5.8
98,Dario Saric,PHI,24,78,30.0,1.0,1.3,0.9,0.01,6.0,3.6,9.6
99,Darius Miller,NOP,28,82,24.0,0.2,0.8,0.7,0.00,3.0,2.4,5.5
100,Darrell Arthur,DEN,30,19,7.0,0.4,0.8,0.2,0.00,1.7,0.5,2.2
101,Darren Collison,IND,30,69,29.0,0.2,2.3,1.1,0.00,1.9,2.8,4.7
102,Darrun Hilliard,SAS,25,14,7.0,0.0,0.3,0.1,0.00,1.0,0.9,1.9
103,David Nwaba,CHI,25,70,24.0,0.1,1.5,1.0,0.00,3.2,2.7,5.8
104,David Stockton,UTA,27,3,3.0,0.0,0.0,0.0,0.00,0.0,1.0,1.0
105,David West,GSW,37,73,14.0,1.4,1.3,0.4,0.01,4.8,1.6,6.4
106,Davis Bertans,SAS,25,77,14.0,0.5,0.6,0.3,0.01,3.9,1.6,5.5
107,Davon Reed,PHX,23,21,12.0,0.0,0.8,0.5,0.05,1.3,0.6,1.9
108,De'Aaron Fox,SAC,20,73,28.0,0.1,1.5,1.1,0.04,2.7,3.6,6.3
109,DeAndre Jordan,LAC,29,77,31.0,4.0,1.1,0.8,0.03,6.2,1.6,7.8
110,DeAndre Liggins,NOP,30,58,12.0,0.0,1.1,0.6,0.14,1.3,1.0,2.3
111,DeAndre' Bembry,ATL,23,26,18.0,0.1,1.5,0.6,0.04,2.2,1.5,3.6
112,DeMar DeRozan,TOR,28,80,34.0,0.1,1.8,1.1,0.03,2.2,1.6,3.8
113,DeMarcus Cousins,NOP,27,48,36.0,2.3,2.7,1.6,0.50,10.7,2.7,13.3
114,DeMarre Carroll,BKN,31,73,30.0,0.6,1.7,1.3,0.05,4.9,2.4,7.3
115,Dejounte Murray,SAS,21,81,22.0,0.1,2.1,1.3,0.00,3.8,2.5,6.2
116,Delon Wright,TOR,26,69,21.0,0.2,2.0,0.9,0.09,2.8,1.6,4.4
117,Demetrius Jackson,PHI,23,15,5.0,0.0,0.3,0.1,0.00,0.5,0.7,1.2
118,Dennis Schroder,ATL,24,67,31.0,0.4,1.7,1.3,0.24,2.7,3.4,6.1
119,Dennis Smith Jr.,DAL,20,69,30.0,0.5,2.1,1.3,0.06,3.3,3.7,7.1
120,Denzel Valentine,CHI,24,77,27.0,0.1,1.6,1.1,0.01,3.0,3.5,6.5
121,Derrick Favors,UTA,26,77,28.0,2.7,1.3,0.8,0.00,8.2,2.6,10.7
122,Derrick Jones Jr.,MIA,21,20,12.0,0.1,0.4,0.4,0.05,2.6,1.1,3.7
123,Derrick Rose,MIN,29,25,17.0,0.2,0.5,0.7,0.00,2.1,1.3,3.4
124,Derrick Walton Jr.,MIA,23,16,9.0,0.0,0.5,0.5,0.00,1.0,0.6,1.6
