,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
90,Daniel Hamilton,OKC,6,5,1,4.6,0.8,0.0,0.0,1.5,55.6,0.2,62.5,3.8
91,Daniel Theis,BOS,60,41,19,14.9,2.9,1.4,48.6,5.1,56.2,0.5,62.5,4.3
92,Danilo Gallinari,LAC,21,11,10,32.0,4.4,1.1,25.0,7.4,59.0,0.7,64.8,6.7
93,Danny Green,SAS,70,40,30,25.6,3.0,0.5,16.8,5.7,52.4,0.5,57.3,6.0
94,Dante Cunningham,BKN,71,33,38,21.4,3.0,0.8,26.4,5.6,52.9,0.4,56.4,6.1
95,Dante Exum,UTA,14,10,4,16.8,1.6,0.3,18.2,3.5,44.9,0.0,44.9,5.5
96,Danuel House,PHX,23,6,17,17.5,2.7,0.3,12.7,4.0,69.2,0.3,75.0,7.3
97,Dario Saric,PHI,77,49,28,29.6,4.7,1.1,23.4,9.1,51.8,0.8,56.7,5.0
98,Darius Miller,NOP,80,47,33,23.8,1.7,0.4,25.4,3.5,49.1,0.4,55.2,8.6
99,Darrell Arthur,DEN,19,12,7,7.4,0.6,0.4,58.3,1.5,42.9,0.2,50.0,4.4
100,Darren Collison,IND,69,39,30,29.3,2.0,0.2,8.5,3.8,53.4,0.2,57.1,11.1
101,Darrun Hilliard,SAS,14,8,6,6.8,0.5,0.1,28.6,1.1,46.7,0.1,53.8,7.5
102,David Nwaba,CHI,70,26,44,23.5,3.4,0.6,18.6,6.2,55.0,0.6,60.9,6.9
103,David Stockton,UTA,3,3,0,3.1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
104,David West,GSW,72,51,21,13.7,2.4,0.9,39.1,4.4,54.9,0.5,62.4,5.3
105,Davis Bertans,SAS,77,43,34,14.1,1.8,0.5,31.1,3.4,51.3,0.2,54.9,5.4
106,Davon Reed,PHX,21,2,19,11.5,1.8,0.1,8.1,3.0,58.7,0.3,66.1,5.9
107,De'Aaron Fox,SAC,73,24,49,27.7,2.3,0.3,11.1,4.5,52.3,0.3,56.3,9.0
108,DeAndre Jordan,LAC,77,39,38,31.5,10.9,2.7,24.7,15.5,70.3,0.7,73.6,4.5
109,DeAndre Liggins,NOP,57,34,23,12.4,1.2,0.4,29.9,1.9,60.9,0.2,68.4,6.5
110,DeAndre' Bembry,ATL,25,8,17,18.2,2.6,0.6,21.9,4.3,59.3,0.3,63.4,7.3
111,DeMar DeRozan,TOR,80,57,23,33.9,3.2,0.5,15.2,5.4,59.8,0.4,64.0,8.9
112,DeMarcus Cousins,NOP,46,26,20,36.5,10.8,3.6,33.3,16.1,67.0,0.7,70.0,4.2
113,DeMarre Carroll,BKN,71,24,47,29.9,5.1,1.2,23.3,8.8,57.7,0.6,62.2,6.1
114,Dejounte Murray,SAS,81,47,34,21.5,4.3,0.7,17.2,7.3,58.7,0.5,63.2,5.7
115,Delon Wright,TOR,69,49,20,20.8,2.2,0.3,11.8,4.1,53.9,0.3,58.2,8.2
116,Demetrius Jackson,PHI,14,12,2,5.5,0.5,0.1,14.3,0.8,63.6,0.2,87.5,8.2
117,Dennis Schroder,ATL,66,21,45,30.9,2.5,0.2,9.2,4.7,52.2,0.4,57.2,9.2
118,Dennis Smith Jr.,DAL,69,22,47,29.7,3.0,0.5,16.2,6.1,49.8,0.6,54.7,7.5
119,Denzel Valentine,CHI,77,26,51,27.2,4.5,0.8,18.3,7.6,59.0,0.7,64.8,6.0
120,Derrick Favors,UTA,77,46,31,28.0,4.6,1.8,38.1,8.3,55.5,0.6,59.6,4.7
121,Derrick Jones Jr.,MIA,20,9,11,12.3,0.9,0.0,0.0,1.7,51.5,0.1,54.8,7.4
122,Derrick Rose,MIN,25,15,10,16.8,0.9,0.2,27.3,1.7,52.4,0.2,61.1,9.7
123,Derrick Walton Jr.,MIA,16,8,8,9.2,0.9,0.2,21.4,1.8,48.3,0.3,58.3,8.5
124,Derrick White,SAS,17,7,10,8.2,1.2,0.5,38.1,1.9,63.6,0.1,65.6,4.9
125,Derrick Williams,LAL,2,1,1,4.3,0.5,0.0,0.0,0.5,100,0.0,100,3.5
126,Devin Booker,PHX,54,16,38,34.5,4.0,0.4,11.0,6.9,58.4,0.6,63.7,7.8
127,Devin Harris,DEN,71,33,38,18.9,1.6,0.4,22.6,2.9,55.6,0.3,61.2,8.5
128,Devin Robinson,WAS,1,0,1,13.2,3.0,1.0,33.3,4.0,75.0,0.0,75.0,5.6
129,Dewayne Dedmon,ATL,61,18,43,24.9,6.2,2.0,31.2,9.6,65.0,0.4,67.7,4.4
130,Deyonta Davis,MEM,62,16,46,15.2,2.8,0.9,32.6,5.0,56.6,0.4,61.4,4.8
131,Dillon Brooks,MEM,81,21,60,28.7,2.6,0.6,22.6,4.7,55.2,0.3,59.4,6.9
132,Dion Waiters,MIA,29,15,14,30.8,2.3,0.2,8.8,4.4,52.7,0.3,57.1,9.3
133,Dirk Nowitzki,DAL,77,24,53,24.7,5.4,1.9,34.6,8.8,61.4,0.6,66.3,4.3
134,Domantas Sabonis,IND,74,45,29,24.5,5.5,1.8,33.4,9.3,59.0,0.6,63.0,4.1
135,Donovan Mitchell,UTA,79,46,33,33.4,3.1,0.6,18.0,5.8,53.0,0.4,56.6,8.4
136,Dorian Finney-Smith,DAL,21,4,17,21.3,2.5,0.7,26.4,4.7,54.1,0.7,63.1,4.8
137,Doug McDermott,DAL,80,29,51,21.7,2.0,0.5,25.2,3.6,55.2,0.4,61.4,6.5
138,Dragan Bender,PHX,82,21,61,25.2,3.9,0.9,24.0,7.2,54.0,0.7,59.6,4.8
