,PLAYER,TEAM,GP,W,L,MIN,DREB,CONTESTED_DREB,CONTEST_DREB%,DREB_CHANCES,DREB_CHANCE%,DEFER_DREB_CHANCE,ADJ_DREB_CHANCE%,AVG_DREB_DIST
281,Julyan Stone,CHA,23,10,13,7.6,1.2,0.2,14.3,1.6,75.7,0.0,77.8,6.1
282,Justin Anderson,PHI,37,27,10,13.9,1.8,0.4,23.9,3.2,55.8,0.3,62.0,7.0
283,Justin Holiday,CHI,72,24,48,31.5,3.6,0.5,13.8,6.1,59.1,0.5,64.0,7.2
284,Justin Jackson,SAC,68,21,47,22.2,2.4,0.4,16.9,3.6,65.6,0.1,68.4,7.3
285,Justin Patton,MIN,1,0,1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Justise Winslow,MIA,67,32,35,24.7,4.5,1.4,32.2,8.2,54.8,0.8,60.4,5.4
287,Jusuf Nurkic,POR,79,48,31,26.4,6.6,2.4,36.0,11.5,57.0,0.9,62.0,3.9
288,Kadeem Allen,BOS,18,9,9,6.0,0.4,0.1,14.3,0.8,46.7,0.1,50.0,7.8
289,Karl-Anthony Towns,MIN,82,47,35,35.6,9.4,3.5,37.6,14.9,63.2,0.9,67.1,4.4
290,Kawhi Leonard,SAS,9,5,4,23.3,4.0,1.0,25.0,6.2,64.3,0.2,66.7,8.2
291,Kay Felder,DET,16,6,10,8.7,0.9,0.1,13.3,1.2,78.9,0.0,78.9,9.9
292,Kelly Olynyk,MIA,75,41,34,23.3,4.5,1.5,33.6,7.8,57.7,0.5,61.5,4.9
293,Kelly Oubre Jr.,WAS,81,43,38,27.5,3.8,1.0,25.7,6.2,60.7,0.3,64.3,5.3
294,Kemba Walker,CHA,80,36,44,34.2,2.7,0.3,10.6,5.7,47.4,0.7,53.7,9.6
295,Kendrick Perkins,CLE,1,0,1,14.5,1.0,0.0,0.0,3.0,33.3,1.0,50.0,3.7
296,Kenneth Faried,DEN,32,16,16,14.4,2.7,1.0,36.5,4.3,61.2,0.2,63.4,5.1
297,Kent Bazemore,ATL,64,19,45,27.5,3.4,0.6,18.6,6.2,55.4,0.7,62.3,6.7
298,Kentavious Caldwell-Pope,LAL,74,31,43,33.2,4.4,0.7,16.2,7.3,60.9,0.6,65.9,7.1
299,Kevin Durant,GSW,67,48,19,34.1,6.3,1.7,27.1,9.9,64.0,0.5,67.6,6.2
300,Kevin Love,CLE,59,37,22,28.0,7.5,2.4,31.9,11.3,66.9,0.5,70.3,4.4
301,Kevon Looney,GSW,66,45,21,13.8,2.0,0.8,41.7,4.0,50.4,0.2,53.7,6.0
302,Khem Birch,ORL,42,14,28,13.8,2.6,0.9,32.7,4.2,62.5,0.2,65.9,4.7
303,Khris Middleton,MIL,81,44,37,36.4,4.7,1.0,20.9,7.8,60.3,0.5,64.6,6.9
304,Klay Thompson,GSW,72,54,18,34.3,3.4,0.9,25.4,6.2,55.1,0.5,59.8,7.6
305,Kobi Simmons,MEM,32,6,26,20.1,1.1,0.1,5.6,1.9,58.1,0.2,63.2,9.1
306,Kosta Koufos,SAC,71,22,49,19.6,4.5,1.5,32.2,6.9,66.1,0.3,69.5,4.1
307,Kris Dunn,CHI,52,19,33,29.3,3.8,0.6,15.7,7.2,53.0,0.9,60.4,6.8
308,Kristaps Porzingis,NYK,48,22,26,32.4,5.3,1.6,29.9,9.3,56.8,0.5,60.0,4.9
309,Kyle Anderson,SAS,74,41,33,26.7,4.2,0.9,20.5,6.2,68.3,0.4,72.6,6.3
310,Kyle Collinsworth,DAL,32,9,23,15.0,2.3,0.4,16.0,4.0,58.6,0.2,61.0,5.5
311,Kyle Korver,CLE,73,43,30,21.6,2.1,0.5,23.1,4.1,52.0,0.4,57.4,7.7
312,Kyle Kuzma,LAL,77,34,43,31.2,5.1,1.2,23.8,8.7,58.8,0.7,63.9,5.2
313,Kyle Lowry,TOR,78,57,21,32.2,4.7,0.7,15.2,8.4,56.0,0.7,61.3,7.7
314,Kyle O'Quinn,NYK,76,27,49,17.9,4.5,1.8,38.8,7.6,59.2,0.4,62.9,4.1
315,Kyle Singler,OKC,11,5,6,3.3,0.5,0.0,0.0,0.7,75.0,0.0,75.0,6.9
316,Kyrie Irving,BOS,57,38,19,32.2,3.2,0.5,14.8,6.5,49.3,0.6,54.3,8.9
317,LaMarcus Aldridge,SAS,75,45,30,33.4,5.2,1.7,32.4,8.7,59.5,0.7,64.3,6.3
318,Lance Stephenson,IND,82,48,34,22.6,4.4,0.7,15.7,6.5,68.0,0.3,71.4,5.5
319,Lance Thomas,NYK,72,24,48,18.4,1.8,0.4,20.2,3.3,55.1,0.2,59.4,8.7
320,Langston Galloway,DET,58,28,30,14.9,1.4,0.1,8.9,2.4,56.0,0.2,60.8,9.5
321,Larry Drew II,NOP,10,6,4,7.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0
322,Larry Nance Jr.,CLE,66,32,34,21.5,4.4,1.4,30.9,7.4,59.9,0.4,63.5,5.5
323,Lauri Markkanen,CHI,68,23,45,29.7,6.3,1.5,23.8,9.3,67.7,0.5,71.3,5.4
324,LeBron James,CLE,82,50,32,36.9,7.5,1.5,20.4,11.0,67.8,0.4,70.5,5.7
325,London Perrantes,CLE,14,8,6,4.7,0.2,0.1,33.3,0.4,60.0,0.1,100,9.6
326,Lonzo Ball,LAL,52,24,28,34.2,5.6,1.0,17.9,8.6,65.4,0.5,69.1,6.9
327,Lorenzo Brown,TOR,14,9,5,9.9,1.0,0.4,35.7,1.2,82.4,0.2,100,6.5
328,Lou Williams,LAC,79,42,37,32.8,2.0,0.3,13.3,3.6,55.4,0.2,58.7,11.1
329,Luc Mbah a Moute,HOU,60,52,8,25.6,2.7,1.1,39.5,5.3,50.8,0.8,59.1,7.2
330,Lucas Nogueira,TOR,49,36,13,8.5,1.4,0.4,29.0,2.5,56.1,0.3,62.7,5.1
331,Luis Montero,DET,2,1,1,4.0,1.0,1.0,100,1.5,66.7,0.5,100,3.3
332,Luke Babbitt,MIA,49,15,34,14.1,1.8,0.5,26.4,3.5,50.3,0.3,54.4,6.1
333,Luke Kennard,DET,73,34,39,20.0,2.1,0.3,16.1,3.8,56.2,0.3,61.0,8.6
334,Luke Kornet,NYK,20,6,14,16.3,2.7,1.1,39.6,6.0,44.2,0.5,47.7,5.5
335,Luol Deng,LAL,1,0,1,13.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
336,Malachi Richardson,TOR,26,8,18,12.4,1.1,0.3,24.1,1.6,69.0,0.2,76.3,5.1
337,Malcolm Brogdon,MIL,47,25,22,29.8,2.7,0.5,19.7,5.2,52.3,0.4,57.0,7.5
338,Malcolm Delaney,ATL,53,16,37,18.7,1.7,0.3,16.7,3.2,53.6,0.2,57.7,8.7
339,Malcolm Miller,TOR,15,15,0,8.4,0.7,0.1,18.2,1.2,61.1,0.1,68.8,8.5
340,Malik Beasley,DEN,62,34,28,9.4,0.9,0.2,19.3,1.5,62.6,0.1,65.5,7.8
341,Malik Monk,CHA,63,26,37,13.5,0.9,0.1,13.8,1.6,59.2,0.1,63.0,9.5
342,Mangok Mathiang,CHA,4,3,1,4.9,1.8,0.5,28.6,2.5,70.0,0.5,87.5,4.6
343,Manu Ginobili,SAS,65,39,26,20.0,1.9,0.5,25.2,3.6,52.1,0.2,55.9,7.3
344,MarShon Brooks,MEM,7,2,5,27.5,1.9,0.0,0.0,3.4,54.2,0.3,59.1,7.7
345,Marc Gasol,MEM,72,20,52,32.9,7.1,2.3,33.2,11.5,61.5,0.7,65.4,4.5
346,Marcin Gortat,WAS,82,43,39,25.3,5.4,1.2,23.1,9.6,55.9,0.9,61.7,4.2
347,Marco Belinelli,PHI,79,39,40,24.3,1.6,0.2,13.4,3.1,52.3,0.2,56.7,8.1
348,Marcus Georges-Hunt,MIN,42,24,18,5.3,0.2,0.0,22.2,0.3,69.2,0.1,90.0,8.6
349,Marcus Morris,BOS,52,32,20,26.8,4.6,1.0,22.2,7.8,58.6,0.4,62.1,5.5
350,Marcus Paige,CHA,5,4,1,5.6,0.8,0.0,0.0,0.8,100,0.0,100,9.6
351,Marcus Smart,BOS,51,35,16,30.1,2.7,0.7,25.0,5.3,51.7,0.4,55.8,7.9
352,Mario Chalmers,MEM,65,20,45,21.5,2.2,0.3,12.6,4.0,54.6,0.3,59.6,9.2
353,Mario Hezonja,ORL,75,21,54,22.1,3.2,0.7,21.3,5.1,62.7,0.3,65.9,5.7
354,Markel Brown,HOU,4,4,0,7.9,1.0,0.3,25.0,2.0,50.0,0.0,50.0,5.5
355,Markelle Fultz,PHI,14,11,3,18.1,2.3,0.4,15.6,4.3,53.3,0.2,56.1,7.8
356,Markieff Morris,WAS,73,37,36,27.0,4.6,1.3,27.8,7.4,62.1,0.4,65.4,5.8
357,Marquese Chriss,PHX,72,19,53,21.2,4.4,1.3,30.4,7.5,59.2,0.5,63.5,4.4
358,Marquis Teague,MEM,3,0,3,24.6,1.7,0.0,0.0,3.7,45.5,0.0,45.5,10.7
359,Marreese Speights,ORL,52,15,37,13.0,2.2,0.8,34.8,4.2,51.6,0.3,56.3,4.9
360,Marshall Plumlee,MIL,8,5,3,6.5,1.6,0.8,46.2,2.4,68.4,0.0,68.4,4.4
361,Marvin Williams,CHA,78,33,45,25.7,3.8,0.7,19.3,6.3,60.7,0.4,65.1,7.0
362,Mason Plumlee,DEN,74,40,34,19.5,3.6,1.1,29.5,6.1,59.8,0.4,63.8,4.6
363,Matt Costello,SAS,4,2,2,8.0,2.0,1.0,50.0,3.0,66.7,0.3,72.7,5.0
364,Matt Williams Jr.,MIA,3,1,2,3.8,0.3,0.0,0.0,0.7,50.0,0.0,50.0,3.7
365,Matthew Dellavedova,MIL,37,21,16,18.7,1.3,0.2,18.8,2.8,46.6,0.3,52.7,8.8
366,Maurice Harkless,POR,59,36,23,21.4,2.0,0.6,29.3,3.6,54.5,0.3,59.2,6.4
367,Maxi Kleber,DAL,72,20,52,16.8,2.3,0.8,34.4,4.1,55.6,0.3,60.1,5.2
368,Meyers Leonard,POR,33,17,16,7.7,1.8,0.5,27.6,2.5,69.9,0.2,75.3,4.7
369,Michael Beasley,NYK,73,23,50,22.1,4.3,1.2,28.8,6.8,62.4,0.3,65.7,4.5
370,Michael Carter-Williams,CHA,52,23,29,16.1,1.9,0.3,13.9,3.6,54.3,0.3,58.7,7.5
371,Michael Kidd-Gilchrist,CHA,74,34,40,25.0,2.9,0.6,20.6,5.4,54.1,0.5,59.2,8.3
372,Mike Conley,MEM,11,6,5,31.4,2.2,0.1,4.2,4.3,51.1,0.6,60.0,11.1
373,Mike James,NOP,36,11,25,19.1,2.1,0.2,9.1,4.3,49.4,0.4,54.2,9.8
374,Mike Muscala,ATL,53,14,39,20.0,3.3,1.3,38.5,5.9,55.4,0.4,59.2,5.2
375,Mike Scott,WAS,76,39,37,18.5,2.6,0.6,23.9,4.3,61.0,0.2,64.2,6.1
376,Miles Plumlee,ATL,55,19,36,16.7,2.7,0.9,32.5,5.6,48.9,0.8,57.0,4.9
377,Milos Teodosic,LAC,45,29,16,25.2,2.4,0.3,13.6,5.3,46.0,0.4,50.2,8.3
378,Milton Doyle,BKN,10,2,8,12.5,1.5,0.1,6.7,2.8,53.6,0.5,65.2,6.8
379,Mindaugas Kuzminskas,NYK,1,0,1,1.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
380,Mirza Teletovic,MIL,9,4,5,15.8,1.9,0.1,5.9,3.9,48.6,0.1,50.0,4.8
381,Monte Morris,DEN,3,2,1,8.4,0.7,0.0,0.0,0.7,100,0.0,100,16.7
382,Montrezl Harrell,LAC,76,39,37,17.0,2.7,0.9,35.5,4.8,55.5,0.3,59.4,5.8
383,Myke Henry,MEM,20,3,17,18.9,1.4,0.4,25.0,3.1,45.2,0.6,54.9,7.1
384,Myles Turner,IND,65,39,26,28.2,5.0,2.0,39.8,9.9,50.2,0.7,54.3,4.4
385,Nate Wolters,UTA,5,3,2,3.8,0.2,0.0,0.0,0.2,100,0.0,100,0.0
386,Naz Mitrou-Long,UTA,1,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Nemanja Bjelica,MIN,67,38,29,20.5,3.3,1.0,30.3,5.4,61.2,0.4,66.0,5.8
388,Nene,HOU,51,42,9,14.6,2.4,0.7,28.3,4.2,55.8,0.4,61.2,4.8
389,Nerlens Noel,DAL,30,6,24,15.7,4.0,1.4,34.2,6.4,62.8,0.6,69.8,3.9
390,Nick Collison,OKC,13,9,4,4.4,0.8,0.0,0.0,1.5,57.9,0.1,61.1,4.6
391,Nick Young,GSW,79,55,24,17.5,1.3,0.3,20.2,2.4,54.5,0.2,59.1,8.9
392,Nicolas Batum,CHA,64,27,37,31.0,3.9,0.7,16.9,6.0,64.7,0.5,70.3,6.8
393,Nicolas Brussino,ATL,4,0,4,2.5,0.8,0.0,0.0,0.8,100,0.0,100,7.0
394,Nigel Hayes,SAC,9,6,3,13.6,2.0,0.7,33.3,2.7,75.0,0.0,75.0,7.0
395,Nik Stauskas,BKN,41,14,27,12.8,1.5,0.2,11.7,2.3,63.8,0.2,69.0,7.0
396,Nikola Jokic,DEN,75,43,32,32.6,8.1,2.7,32.9,12.5,64.8,0.6,68.2,4.2
397,Nikola Mirotic,NOP,55,34,21,27.2,6.3,1.5,23.4,9.7,65.2,0.5,68.9,5.2
398,Nikola Vucevic,ORL,57,17,40,29.5,7.4,2.8,37.2,10.9,68.1,0.6,72.3,3.9
399,Noah Vonleh,CHI,54,24,30,16.2,4.5,1.5,33.6,6.8,65.5,0.3,68.5,3.8
400,Norman Powell,TOR,70,51,19,15.2,1.5,0.3,19.0,2.5,60.7,0.2,66.5,6.3
401,OG Anunoby,TOR,74,51,23,20.0,1.9,0.4,22.9,3.0,63.9,0.3,70.4,6.3
402,Okaro White,CLE,6,2,4,13.3,1.3,0.5,37.5,2.8,47.1,0.2,50.0,5.7
403,Omari Johnson,MEM,4,1,3,18.8,1.8,0.3,14.3,5.0,35.0,0.5,38.9,8.3
404,Omer Asik,CHI,18,7,11,10.1,2.1,0.6,26.3,3.8,55.9,0.5,64.4,4.5
405,Omri Casspi,GSW,53,40,13,14.0,3.2,0.5,17.1,5.4,59.6,0.4,64.6,4.6
406,Otto Porter Jr.,WAS,77,42,35,31.6,5.1,1.2,23.7,8.3,61.0,0.4,64.4,6.6
407,PJ Dozier,OKC,2,1,1,1.6,0.5,0.0,0.0,0.5,100,0.0,100,6.6
408,PJ Tucker,HOU,81,65,16,27.8,4.4,1.1,25.3,7.5,59.1,0.5,63.8,6.1
409,Pascal Siakam,TOR,81,59,22,20.7,3.5,1.1,30.9,6.2,57.0,0.3,60.3,5.7
410,Pat Connaughton,POR,82,49,33,18.1,1.5,0.2,16.0,2.7,57.3,0.3,65.4,8.1
411,Patrick Beverley,LAC,11,5,6,30.3,2.6,0.5,20.7,4.6,56.9,0.1,58.0,7.6
412,Patrick McCaw,GSW,57,41,16,16.9,1.2,0.2,18.2,2.1,54.1,0.1,56.9,7.9
413,Patrick Patterson,OKC,79,48,31,15.3,2.0,0.6,31.6,3.6,53.8,0.3,57.8,5.8
414,Patty Mills,SAS,82,47,35,25.7,1.6,0.1,8.6,2.8,56.4,0.2,61.2,11.6
415,Pau Gasol,SAS,77,45,32,23.5,6.4,2.1,33.3,9.8,64.7,0.6,68.7,4.0
416,Paul George,OKC,77,47,30,36.6,4.8,0.9,19.7,8.4,56.4,0.7,61.5,7.0
417,Paul Millsap,DEN,38,22,16,30.1,4.7,1.6,33.3,8.8,53.6,0.7,58.4,5.6
418,Paul Zipser,CHI,54,17,37,15.3,2.2,0.5,23.7,3.8,58.1,0.3,63.8,5.0
419,Quincy Acy,BKN,68,25,43,19.5,3.1,0.7,21.5,5.9,53.5,0.4,57.7,5.1
420,Quincy Pondexter,CHI,23,6,17,8.5,0.8,0.1,10.5,1.7,50.0,0.3,59.4,7.9
421,Quinn Cook,GSW,33,21,12,22.4,2.2,0.3,12.5,4.5,48.0,0.4,52.6,8.0
422,RJ Hunter,HOU,5,3,2,9.0,1.0,0.2,20.0,1.2,83.3,0.4,125.0,7.8
423,Rajon Rondo,NOP,64,40,24,26.2,3.6,0.4,10.9,6.3,56.7,0.3,59.9,8.4
424,Ramon Sessions,WAS,28,10,18,14.0,1.1,0.0,0.0,2.0,56.1,0.1,59.3,9.3
425,Rashad Vaughn,ORL,28,13,15,7.6,0.6,0.1,22.2,1.3,50.0,0.1,54.5,8.3
426,Raul Neto,UTA,41,28,13,12.2,1.0,0.0,4.8,2.0,50.0,0.2,56.0,9.9
427,Raymond Felton,OKC,79,48,31,16.6,1.6,0.3,17.5,2.8,57.3,0.3,64.3,8.9
428,Reggie Bullock,DET,62,32,30,27.9,2.0,0.5,23.6,3.6,56.4,0.3,61.4,8.8
429,Reggie Hearn,DET,3,3,0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,Reggie Jackson,DET,45,27,18,26.7,2.1,0.2,11.5,4.1,51.6,0.6,59.6,8.7
431,Richard Jefferson,DEN,20,10,10,8.2,0.8,0.2,20.0,1.5,51.7,0.3,62.5,6.9
432,Richaun Holmes,PHI,47,30,17,15.5,3.2,1.1,35.3,5.7,56.0,0.4,59.8,4.5
433,Ricky Rubio,UTA,77,44,33,29.3,4.0,0.6,14.0,6.5,61.2,0.5,66.5,8.6
434,Robert Covington,PHI,79,51,28,31.7,4.8,1.2,25.5,8.8,53.8,0.8,58.8,6.9
435,Robin Lopez,CHI,64,23,41,26.4,2.4,1.0,39.1,5.4,45.1,0.9,54.0,5.8
436,Rodney Hood,CLE,60,29,31,26.9,2.4,0.3,11.2,4.3,55.9,0.3,60.6,8.6
437,Rodney McGruder,MIA,18,11,7,16.6,1.2,0.1,4.5,2.6,46.8,0.2,50.0,6.2
438,Rodney Purvis,ORL,16,5,11,18.1,1.6,0.2,11.5,2.8,57.8,0.1,59.1,6.8
439,Ron Baker,NYK,28,11,17,13.1,0.9,0.1,16.7,1.8,49.0,0.1,51.1,9.9
440,Rondae Hollis-Jefferson,BKN,66,25,41,28.0,5.3,1.6,30.5,9.4,56.3,0.8,61.6,4.9
441,Royce O'Neale,UTA,69,43,26,16.7,3.1,0.9,30.3,4.8,64.3,0.4,69.6,5.3
442,Rudy Gay,SAS,57,36,21,21.6,3.8,1.0,27.4,7.0,54.2,0.6,59.1,5.1
443,Rudy Gobert,UTA,56,37,19,32.4,7.8,2.3,29.1,13.8,56.5,1.1,61.3,3.8
444,Russell Westbrook,OKC,77,47,30,36.4,8.1,1.3,15.7,11.6,70.1,0.5,73.0,6.7
445,Ryan Anderson,HOU,65,52,13,26.1,3.6,1.2,34.6,6.2,58.1,0.4,62.2,5.7
446,Ryan Arcidiacono,CHI,24,6,18,12.7,1.0,0.1,8.3,1.5,68.6,0.1,72.7,8.3
447,Salah Mejri,DAL,61,21,40,11.9,2.6,1.0,37.3,4.7,56.1,0.4,61.0,4.1
448,Sam Dekker,LAC,73,36,37,12.1,1.8,0.4,23.1,3.2,55.3,0.3,60.7,5.8
449,Scotty Hopson,DAL,1,0,1,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Sean Kilpatrick,CHI,52,22,30,12.3,1.6,0.2,11.0,2.4,66.7,0.2,73.9,7.6
451,Semi Ojeleye,BOS,70,47,23,16.2,1.8,0.6,35.5,3.2,55.1,0.3,59.9,7.0
452,Serge Ibaka,TOR,76,53,23,27.5,5.3,1.4,26.0,9.1,58.1,0.7,63.0,4.2
453,Shabazz Muhammad,MIL,43,25,18,9.7,1.2,0.3,28.3,1.8,67.1,0.1,70.7,4.4
454,Shabazz Napier,POR,74,46,28,20.7,1.9,0.2,8.3,3.9,50.0,0.5,56.7,8.5
455,Shane Larkin,BOS,51,36,15,14.6,1.5,0.2,14.7,2.5,59.5,0.2,64.1,8.4
456,Shaquille Harrison,PHX,23,3,20,16.7,2.3,0.4,19.2,3.7,60.5,0.2,64.2,8.9
457,Shaun Livingston,GSW,70,48,22,15.9,1.4,0.3,22.9,2.6,52.2,0.2,57.1,8.5
458,Shelvin Mack,ORL,69,21,48,19.8,2.1,0.2,10.5,3.7,56.5,0.3,61.1,9.4
459,Sindarius Thornwell,LAC,73,36,37,15.8,1.5,0.5,30.8,2.8,52.5,0.3,59.4,7.4
460,Skal Labissiere,SAC,60,19,41,20.7,3.2,1.0,30.7,5.9,53.2,0.6,58.7,5.4
461,Solomon Hill,NOP,12,8,4,15.6,2.3,0.4,18.5,3.8,60.0,0.3,64.3,8.4
462,Spencer Dinwiddie,BKN,78,27,51,28.9,2.7,0.4,13.1,4.5,60.2,0.3,63.8,8.3
463,Stanley Johnson,DET,69,33,36,27.4,3.2,0.6,19.2,5.7,55.9,0.5,61.0,7.4
464,Stephen Curry,GSW,50,40,10,31.9,4.4,0.7,16.7,8.0,55.4,0.7,60.3,8.4
465,Sterling Brown,MIL,54,26,28,14.4,2.1,0.4,19.0,3.6,60.4,0.4,67.4,5.9
466,Steven Adams,OKC,74,43,31,32.9,4.0,1.5,36.9,8.0,49.7,0.7,54.2,5.4
467,T.J. McConnell,PHI,75,50,25,22.4,2.5,0.3,11.4,4.1,60.5,0.3,64.5,9.1
468,TJ Leaf,IND,53,31,22,8.7,1.0,0.2,24.5,1.8,54.6,0.2,60.9,5.7
469,TJ Warren,PHX,65,18,47,33.0,3.2,1.0,31.7,5.6,57.5,0.3,61.0,8.3
470,Taj Gibson,MIN,82,47,35,33.2,4.8,1.2,25.1,8.7,54.4,0.5,57.9,5.6
471,Tarik Black,HOU,51,40,11,10.5,2.0,0.6,32.0,3.4,58.5,0.3,63.7,5.1
472,Taurean Prince,ATL,81,24,57,30.0,4.1,0.9,21.2,7.0,59.1,0.6,64.7,6.4
473,Terrance Ferguson,OKC,59,37,22,12.6,0.5,0.1,28.6,1.1,44.4,0.1,48.3,9.9
474,Terrence Ross,ORL,24,10,14,25.0,2.6,0.4,14.3,4.5,58.9,0.3,63.0,8.0
475,Terry Rozier,BOS,77,51,26,26.0,3.9,0.7,18.4,6.8,56.8,0.6,62.4,7.2
476,Thabo Sefolosha,UTA,38,16,22,21.2,3.5,1.0,28.0,5.7,61.1,0.4,66.0,5.9
477,Thaddeus Young,IND,81,48,33,32.2,4.0,1.1,26.8,7.2,55.9,0.5,60.3,6.6
478,Thomas Bryant,LAL,15,7,8,4.8,0.9,0.4,42.9,1.3,70.0,0.1,73.7,4.5
479,Thon Maker,MIL,73,40,33,16.8,2.0,0.7,32.4,4.6,44.0,0.5,49.2,6.2
480,Tim Frazier,WAS,59,31,28,14.2,1.6,0.2,11.3,3.0,54.5,0.4,63.0,8.8
481,Tim Hardaway Jr.,NYK,57,19,38,33.1,3.4,0.4,10.9,6.0,56.5,0.5,61.3,8.3
482,Tim Quarterman,HOU,3,2,1,4.2,1.0,0.7,66.7,1.0,100,0.0,100,6.1
483,Timofey Mozgov,BKN,29,11,18,11.9,2.2,0.8,34.9,3.8,57.3,0.4,63.6,4.2
484,Timothe Luwawu-Cabarrot,PHI,51,29,22,15.6,1.1,0.2,15.5,2.5,45.0,0.3,50.0,8.5
485,Tobias Harris,LAC,80,39,41,33.3,4.7,1.2,25.1,8.7,54.5,0.7,59.0,5.8
486,Tomas Satoransky,WAS,73,39,34,22.5,2.2,0.4,17.4,3.9,56.3,0.3,60.8,9.1
487,Tony Allen,NOP,20,11,9,12.4,1.1,0.2,18.2,1.9,57.9,0.1,59.5,6.1
488,Tony Bradley,UTA,9,6,3,3.2,0.8,0.4,57.1,1.4,53.8,0.2,63.6,3.4
489,Tony Parker,SAS,55,32,23,19.5,1.6,0.2,10.2,2.5,63.8,0.2,70.4,10.0
490,Tony Snell,MIL,74,42,32,27.4,1.8,0.2,13.7,3.6,48.9,0.4,54.1,8.9
491,Torrey Craig,DEN,39,22,17,16.1,2.2,0.6,25.3,4.0,55.4,0.4,60.8,6.1
492,Travis Wear,LAL,17,7,10,13.4,2.2,0.8,36.8,3.6,62.3,0.4,70.4,6.6
493,Treveon Graham,CHA,63,28,35,16.7,1.3,0.3,25.3,2.8,44.6,0.3,49.7,8.6
494,Trevor Ariza,HOU,66,51,15,33.8,3.9,0.7,18.8,6.2,62.6,0.5,67.9,7.2
495,Trevor Booker,IND,67,36,31,17.1,3.0,0.9,28.5,5.5,54.1,0.5,59.0,5.2
496,Trey Burke,NYK,36,10,26,21.8,1.6,0.2,12.1,3.1,52.3,0.3,56.9,9.9
497,Trey Lyles,DEN,73,41,32,19.1,4.0,1.1,26.7,6.4,62.4,0.4,66.8,4.6
498,Trey McKinney-Jones,IND,1,1,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,Tristan Thompson,CLE,53,27,26,20.2,4.3,0.6,15.0,7.1,60.3,0.5,65.1,5.4
500,Troy Daniels,PHX,79,20,59,20.5,1.5,0.3,20.9,2.7,54.0,0.3,60.5,7.3
501,Troy Williams,NYK,21,7,14,14.6,2.0,0.4,19.5,2.9,67.2,0.1,70.7,5.6
502,Tyler Cavanaugh,ATL,38,11,27,13.2,2.1,0.5,25.0,3.8,55.9,0.2,59.3,4.9
503,Tyler Dorsey,ATL,56,15,41,17.4,2.0,0.2,11.5,3.6,55.9,0.3,61.7,7.2
504,Tyler Ennis,LAL,54,22,32,12.7,1.4,0.2,13.2,2.3,61.8,0.1,65.0,7.9
505,Tyler Johnson,MIA,71,38,33,28.5,3.0,0.6,20.5,5.8,51.2,0.5,56.5,7.4
506,Tyler Lydon,DEN,1,1,0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,Tyler Ulis,PHX,71,20,51,23.4,1.5,0.2,10.6,2.7,54.7,0.3,60.8,11.3
508,Tyler Zeller,MIL,64,26,38,16.7,2.9,0.8,29.0,5.2,54.8,0.5,60.0,4.9
509,Tyreke Evans,MEM,51,18,33,31.1,4.2,0.8,19.9,7.3,58.1,0.5,61.9,7.7
510,Tyrone Wallace,LAC,30,17,13,28.4,2.8,0.5,16.7,4.7,60.0,0.4,65.6,8.6
511,Tyson Chandler,PHX,46,15,31,25.0,6.2,1.9,31.3,10.2,60.3,0.7,64.7,4.2
512,Tyus Jones,MIN,82,47,35,17.9,1.4,0.2,12.1,2.5,56.3,0.3,62.7,9.6
513,Udonis Haslem,MIA,14,9,5,5.1,0.5,0.1,14.3,1.1,46.7,0.1,53.8,5.0
514,Vander Blue,LAL,5,1,4,9.0,0.2,0.0,0.0,0.2,100,0.2,0.0,7.2
515,Victor Oladipo,IND,75,48,27,34.0,4.6,1.0,22.4,8.3,55.0,0.6,59.5,6.7
516,Vince Carter,SAC,58,20,38,17.7,2.2,0.6,27.7,4.3,51.6,0.3,56.0,5.4
517,Vincent Hunter,MEM,4,0,4,1.8,0.3,0.3,100,0.5,50.0,0.0,50.0,5.7
518,Wade Baldwin IV,POR,7,4,3,11.5,1.0,0.0,0.0,1.6,63.6,0.1,70.0,7.6
519,Walter Lemon Jr.,NOP,5,4,1,7.0,0.4,0.0,0.0,0.2,200.0,0.0,200.0,13.5
520,Wayne Ellington,MIA,76,41,35,26.6,2.5,0.3,11.9,4.3,58.7,0.3,63.5,8.4
521,Wayne Selden,MEM,35,10,25,19.8,1.1,0.3,27.5,1.9,61.5,0.1,65.6,10.8
522,Wes Iwundu,ORL,62,18,44,16.5,1.6,0.4,25.7,3.2,50.2,0.5,59.8,4.7
523,Wesley Johnson,LAC,74,38,36,20.1,2.5,0.6,23.0,4.7,54.0,0.3,58.1,7.2
524,Wesley Matthews,DAL,63,20,43,33.8,2.7,0.5,17.1,4.6,58.8,0.3,63.7,9.0
525,Will Barton,DEN,81,46,35,33.1,4.2,0.7,16.2,7.2,58.1,0.6,63.5,5.8
