,PLAYER,15FREQ,15DFGM,15DFGA,15DFG%
0,Jrue Holiday,63.7%,3.3,9.1,36.0
1,Kemba Walker,58.5%,3.0,8.0,37.4
2,Kristaps Porzingis,48.1%,2.8,7.5,37.7
3,Blake Griffin,52.2%,2.6,7.3,35.7
4,Anthony Davis,44.3%,2.4,7.3,32.3
5,Andrew Wiggins,54.7%,2.7,7.3,37.2
6,Thaddeus Young,55.2%,2.5,7.0,36.0
7,Bradley Beal,59.6%,2.5,6.9,36.7
8,Corey Brewer,64.9%,3.0,6.8,44.3
9,Ben Simmons,58.6%,2.4,6.8,34.9
10,Tobias Harris,47.9%,2.5,6.8,36.6
11,Steven Adams,43.3%,2.6,6.6,38.6
12,Victor Oladipo,58.8%,2.4,6.6,35.9
13,Justin Holiday,60.6%,2.4,6.6,36.6
14,Paul George,53.5%,2.6,6.6,39.1
15,Patrick Beverley,63.2%,3.0,6.6,45.8
16,Al Horford,42.6%,2.3,6.6,34.3
17,James Harden,52.7%,2.6,6.6,39.1
18,Draymond Green,46.0%,2.2,6.5,34.5
19,Taj Gibson,50.7%,2.5,6.5,37.9
20,Brandon Ingram,58.7%,2.1,6.4,32.8
21,CJ McCollum,57.6%,2.4,6.4,36.8
22,Dennis Schroder,61.7%,2.6,6.4,40.6
23,Dillon Brooks,59.5%,2.6,6.3,40.4
24,Kris Dunn,57.5%,2.5,6.3,38.8
25,Devin Booker,58.4%,2.4,6.3,38.3
26,Mike Conley,63.3%,2.0,6.3,31.9
27,Tyrone Wallace,58.4%,2.2,6.2,36.1
28,Khris Middleton,58.2%,2.5,6.2,39.8
29,Robert Covington,52.8%,2.4,6.2,37.9
30,Damian Lillard,59.6%,2.2,6.2,35.8
31,Tim Hardaway Jr.,57.6%,2.3,6.2,36.5
32,De'Aaron Fox,63.5%,2.3,6.1,37.4
33,Danilo Gallinari,50.2%,2.1,6.1,33.9
34,Josh Richardson,53.6%,2.3,6.1,37.9
35,Paul Millsap,41.9%,2.2,6.0,37.3
36,Cory Joseph,61.5%,2.2,5.9,37.9
37,Dennis Smith Jr.,56.0%,2.1,5.9,36.5
38,Lonzo Ball,51.0%,2.0,5.8,34.9
39,Kyle Lowry,53.5%,2.1,5.8,35.9
40,LaMarcus Aldridge,43.1%,2.2,5.8,38.4
41,Kevin Durant,48.7%,2.0,5.8,33.9
42,Michael Kidd-Gilchrist,52.9%,2.4,5.7,40.9
43,Jimmy Butler,53.6%,2.0,5.7,34.6
44,Dragan Bender,46.9%,2.4,5.7,41.9
45,Reggie Jackson,64.6%,2.4,5.7,41.8
46,Caris LeVert,58.5%,2.4,5.7,42.6
47,Jeremy Lamb,64.7%,2.0,5.7,34.8
