,PLAYER,15FREQ,15DFGM,15DFGA,15DFG%
48,Carmelo Anthony,51.4%,2.0,5.7,35.7
49,Andre Roberson,53.5%,1.9,5.7,33.3
50,Marquis Teague,63.0%,2.3,5.7,41.2
51,Jeff Teague,59.6%,2.2,5.7,39.6
52,Donovan Mitchell,58.3%,2.0,5.7,35.0
53,Elfrid Payton,53.5%,2.2,5.6,39.2
54,Dario Saric,49.3%,2.1,5.6,37.7
55,Eric Bledsoe,55.5%,2.1,5.6,37.6
56,Jamal Murray,53.3%,2.3,5.6,40.8
57,DeMarcus Cousins,33.2%,2.3,5.6,41.1
58,Karl-Anthony Towns,35.7%,2.2,5.6,38.5
59,Xavier Rathan-Mayes,62.2%,2.6,5.6,46.4
60,John Wall,51.1%,1.8,5.6,31.4
61,Avery Bradley,62.7%,2.2,5.6,39.3
62,Wesley Matthews,63.9%,2.0,5.6,35.9
63,Clint Capela,34.0%,2.0,5.6,36.0
64,LeBron James,50.1%,2.2,5.6,38.8
65,Harrison Barnes,51.9%,1.9,5.6,34.9
66,Denzel Valentine,60.1%,2.1,5.5,37.8
67,Nikola Jokic,33.9%,2.3,5.5,41.5
68,Jaylen Brown,58.7%,1.8,5.5,32.0
69,MarShon Brooks,63.5%,2.0,5.5,36.4
70,Aaron Harrison,62.8%,1.9,5.4,34.7
71,Marcus Smart,62.4%,1.8,5.4,33.0
72,Lou Williams,65.0%,2.0,5.4,37.1
73,Taurean Prince,54.0%,2.1,5.4,39.1
74,Jarrett Jack,65.5%,2.2,5.4,40.4
75,Bojan Bogdanovic,58.5%,2.0,5.4,36.9
76,David Nwaba,59.1%,2.3,5.4,43.3
77,Dion Waiters,50.6%,2.1,5.4,39.1
78,TJ Warren,59.4%,1.8,5.4,33.2
79,Courtney Lee,63.4%,2.0,5.4,37.3
80,Giannis Antetokounmpo,43.2%,1.8,5.4,33.1
81,Austin Rivers,54.3%,2.1,5.3,38.6
82,Al-Farouq Aminu,45.7%,2.0,5.3,38.1
83,Spencer Dinwiddie,59.5%,2.2,5.3,41.5
84,Klay Thompson,50.6%,2.1,5.3,40.6
85,Gary Harris,62.8%,1.9,5.2,36.1
86,Isaiah Thomas,57.4%,1.7,5.2,32.7
87,Wilson Chandler,55.5%,2.0,5.2,38.9
88,Danny Green,47.3%,1.8,5.2,35.4
89,Tyreke Evans,61.9%,1.9,5.2,36.2
90,E'Twaun Moore,52.4%,2.1,5.2,39.9
91,Joe Ingles,59.5%,2.0,5.2,38.1
92,Reggie Bullock,59.4%,1.8,5.2,35.2
93,Ish Smith,56.8%,1.8,5.2,34.0
94,Darren Collison,65.8%,1.8,5.1,35.9
95,Kentavious Caldwell-Pope,55.3%,2.0,5.1,39.0
96,Ricky Rubio,54.3%,2.2,5.1,42.3
97,JR Smith,62.5%,1.9,5.1,37.8
98,Kyle Kuzma,46.5%,1.8,5.1,34.8
99,Nikola Mirotic,44.0%,1.7,5.0,34.5
100,Andre Ingram,62.5%,2.0,5.0,40.0
101,George Hill,58.0%,1.8,5.0,36.0
102,DeMarre Carroll,43.9%,2.0,5.0,39.7
103,Dewayne Dedmon,46.8%,1.8,5.0,37.0
104,Yogi Ferrell,57.8%,1.9,5.0,38.4
105,Willie Cauley-Stein,46.4%,1.9,5.0,38.5
106,Josh Hart,49.6%,1.7,5.0,35.2
107,Garrett Temple,61.7%,2.0,4.9,39.9
108,Frank Kaminsky,51.4%,2.1,4.9,42.6
109,Buddy Hield,53.5%,1.8,4.9,37.5
110,Jeff Green,51.3%,1.8,4.9,36.6
111,Tyler Johnson,48.2%,1.9,4.9,39.5
112,Evan Fournier,51.4%,2.0,4.9,39.9
113,Justise Winslow,51.3%,1.7,4.9,34.6
114,Jonathon Simmons,54.5%,1.9,4.9,39.9
115,Bogdan Bogdanovic,57.8%,2.0,4.9,40.5
116,James Johnson,50.0%,1.9,4.9,37.9
117,Damion Lee,59.3%,1.4,4.9,28.8
118,Kent Bazemore,55.2%,2.1,4.9,42.1
119,Kyrie Irving,51.9%,1.8,4.9,37.1
120,Will Barton,52.0%,1.9,4.8,38.9
121,Dwight Powell,51.9%,1.8,4.8,37.9
122,Jae Crowder,52.1%,1.9,4.8,40.3
123,PJ Tucker,49.4%,1.8,4.8,37.2
124,Otto Porter Jr.,50.8%,1.9,4.8,38.6
125,Cameron Payne,63.2%,1.4,4.8,29.6
126,Malcolm Brogdon,50.2%,2.0,4.8,41.8
127,Stephen Curry,56.0%,1.7,4.8,36.0
128,Evan Turner,55.9%,1.9,4.8,39.7
129,Joel Embiid,33.5%,1.5,4.8,31.4
130,Jerryd Bayless,60.5%,1.8,4.8,37.6
131,Andrew Harrison,60.8%,1.8,4.8,36.8
132,DeAndre Jordan,38.9%,1.7,4.7,36.8
133,Chris Paul,46.3%,1.7,4.7,36.1
134,J.J. Barea,63.7%,2.0,4.7,43.1
135,Rudy Gobert,29.2%,2.0,4.7,42.4
136,JJ Redick,59.9%,1.7,4.7,36.7
137,Nicolas Batum,57.1%,2.1,4.7,44.3
138,Lauri Markkanen,43.8%,2.0,4.7,41.7
139,Markieff Morris,46.3%,1.6,4.7,33.9
140,Kelly Oubre Jr.,56.7%,1.8,4.7,37.5
141,Mario Hezonja,53.2%,1.7,4.7,35.6
142,Milos Teodosic,53.4%,2.0,4.7,42.4
143,Serge Ibaka,43.7%,1.9,4.6,39.9
144,Allen Crabbe,55.0%,1.7,4.6,36.3
145,Eric Gordon,60.6%,1.5,4.6,32.5
146,JaMychal Green,53.5%,1.7,4.6,37.2
147,Marvin Williams,50.1%,1.6,4.6,35.5
148,Terry Rozier,59.9%,1.6,4.6,34.8
149,Stanley Johnson,56.9%,1.7,4.6,37.7
150,C.J. Williams,61.4%,1.6,4.6,35.4
151,Aaron Gordon,41.1%,1.5,4.6,33.0
152,Tony Snell,54.7%,1.8,4.5,39.5
153,Derrick Favors,37.3%,1.6,4.5,35.9
154,Jayson Tatum,54.9%,1.6,4.5,35.4
155,Julius Randle,39.3%,1.7,4.5,37.7
156,Terrence Ross,52.5%,1.6,4.5,35.5
157,Marcus Morris,49.6%,1.5,4.5,33.2
158,Russell Westbrook,54.4%,1.6,4.4,36.3
159,Jerian Grant,59.0%,1.7,4.4,37.6
160,Tristan Thompson,43.0%,1.9,4.4,42.1
161,Rondae Hollis-Jefferson,40.4%,1.7,4.4,38.8
162,Joe Harris,52.9%,1.5,4.4,34.8
163,Luc Mbah a Moute,48.2%,1.5,4.4,34.5
164,Nikola Vucevic,29.9%,1.7,4.3,38.9
165,Josh Jackson,53.1%,1.7,4.3,38.7
166,Robin Lopez,35.8%,1.8,4.3,41.7
167,Dejounte Murray,49.5%,1.8,4.3,40.9
168,Antonio Blakeney,71.1%,1.5,4.3,35.9
169,T.J. McConnell,61.2%,1.5,4.3,35.2
170,Rajon Rondo,59.0%,1.6,4.2,38.5
171,Josh Gray,60.0%,2.4,4.2,57.1
172,Marquese Chriss,42.0%,1.6,4.2,38.7
173,Mike Muscala,44.0%,1.6,4.2,38.3
174,Trevor Ariza,51.8%,1.3,4.2,31.6
175,Marco Belinelli,63.4%,1.6,4.2,38.6
176,Kyle Korver,53.1%,1.4,4.2,33.2
177,Shabazz Napier,58.6%,1.6,4.2,37.5
178,Dwyane Wade,54.5%,1.3,4.2,31.7
179,Brook Lopez,34.6%,1.8,4.2,42.5
180,Jameer Nelson,60.9%,1.5,4.2,35.4
181,Anthony Tolliver,47.9%,1.4,4.1,34.6
182,Andre Iguodala,56.6%,1.3,4.1,30.8
183,Ersan Ilyasova,43.4%,1.5,4.1,37.0
184,Tyler Ulis,57.6%,1.6,4.1,38.2
185,Isaiah Canaan,59.4%,1.4,4.1,32.9
186,Patty Mills,60.2%,1.6,4.1,39.3
187,Wesley Johnson,49.4%,1.6,4.1,39.5
188,Shaquille Harrison,60.0%,1.4,4.1,34.4
189,Rudy Gay,50.3%,1.5,4.1,36.5
190,Wayne Ellington,58.9%,1.6,4.1,40.1
191,Michael Beasley,49.0%,1.7,4.1,41.0
192,Darius Miller,50.8%,1.4,4.1,34.9
193,Jordan Clarkson,54.4%,1.5,4.1,35.7
194,Shelvin Mack,58.6%,1.7,4.1,42.7
195,Tomas Satoransky,54.3%,1.4,4.0,33.7
196,OG Anunoby,56.4%,1.5,4.0,37.8
197,Jarell Martin,44.9%,1.5,4.0,36.8
198,Luol Deng,30.8%,3.0,4.0,75.0
199,Markelle Fultz,55.4%,1.4,4.0,33.9
200,Chinanu Onuaku,66.7%,1.0,4.0,25.0
201,Devin Robinson,100.0%,2.0,4.0,50.0
202,Jeremy Lin,44.4%,1.0,4.0,25.0
203,James Ennis III,58.0%,1.2,4.0,29.3
204,DeMar DeRozan,54.5%,1.5,4.0,38.4
205,Quinn Cook,55.8%,1.5,4.0,36.5
206,Ryan Anderson,43.8%,1.4,4.0,35.7
207,Jabari Parker,47.1%,1.2,4.0,30.9
208,Thabo Sefolosha,51.9%,1.4,4.0,34.4
209,Trey Burke,59.2%,1.4,3.9,34.8
210,D'Angelo Russell,52.1%,1.7,3.9,42.3
211,Mike James,57.0%,1.3,3.9,34.1
212,Iman Shumpert,59.8%,1.7,3.9,43.6
213,Skal Labissiere,43.0%,1.4,3.9,36.2
214,Dwight Howard,34.7%,1.5,3.9,37.6
215,Joe Johnson,54.3%,1.3,3.9,32.4
216,Marc Gasol,31.6%,1.4,3.9,35.8
217,Troy Daniels,58.4%,1.6,3.9,40.7
218,D.J. Augustin,60.2%,1.5,3.9,39.1
219,Maurice Harkless,55.9%,1.5,3.9,39.2
220,Dorian Finney-Smith,54.5%,1.6,3.9,39.7
221,Kawhi Leonard,52.2%,0.9,3.9,22.9
222,Kyle Anderson,48.0%,1.4,3.9,35.9
223,Jamil Wilson,48.2%,1.5,3.9,38.9
224,Montrezl Harrell,45.0%,1.5,3.9,38.1
225,Myke Henry,58.8%,1.5,3.9,37.7
226,Marcin Gortat,30.4%,1.4,3.8,37.5
227,Rodney Hood,53.1%,1.6,3.8,40.9
228,Myles Turner,27.5%,1.5,3.8,37.9
229,Isaiah Taylor,70.5%,1.5,3.8,40.2
230,Zach Randolph,40.0%,1.5,3.8,39.6
231,Enes Kanter,30.7%,1.7,3.8,46.0
232,Kevin Love,31.5%,1.6,3.8,41.3
233,Nemanja Bjelica,44.3%,1.3,3.8,34.4
234,Jusuf Nurkic,29.2%,1.6,3.8,41.4
235,Frank Ntilikina,51.0%,1.3,3.8,34.3
236,Kelly Olynyk,38.3%,1.4,3.8,37.0
237,Tyler Dorsey,57.5%,1.4,3.7,38.0
238,Andre Drummond,29.3%,1.5,3.7,40.1
239,Zach LaVine,61.8%,1.3,3.7,35.8
240,Goran Dragic,43.5%,1.3,3.7,35.6
241,John Collins,33.5%,1.3,3.7,35.4
242,Sindarius Thornwell,55.1%,1.2,3.6,34.1
243,Jose Calderon,54.9%,1.4,3.6,37.3
244,Pat Connaughton,57.8%,1.3,3.6,35.8
245,Danuel House,57.6%,1.4,3.6,39.8
246,Dwayne Bacon,59.3%,1.3,3.6,37.1
247,Larry Nance Jr.,38.3%,1.3,3.6,37.2
248,Trey Lyles,42.1%,1.2,3.6,33.6
249,Gerald Green,47.7%,1.2,3.6,32.6
250,Maxi Kleber,43.2%,1.5,3.6,42.2
251,Kevon Looney,46.5%,1.2,3.6,34.2
252,Emmanuel Mudiay,57.9%,1.5,3.6,42.9
253,Doug McDermott,55.0%,1.2,3.6,34.3
254,Trevor Booker,52.3%,1.2,3.5,34.2
255,Dirk Nowitzki,36.9%,1.4,3.5,39.2
256,Ben McLemore,55.9%,1.5,3.5,42.3
257,John Henson,29.7%,1.3,3.5,36.6
258,Justin Jackson,56.6%,1.4,3.5,38.9
259,Omari Johnson,56.0%,1.8,3.5,50.0
260,Jaylen Morris,56.8%,1.3,3.5,38.1
261,Mason Plumlee,37.3%,1.4,3.5,38.6
262,Pascal Siakam,46.5%,1.4,3.5,39.9
263,Torrey Craig,52.8%,1.2,3.4,33.6
264,Bryn Forbes,55.9%,1.1,3.4,31.1
265,Rodney Purvis,70.6%,1.1,3.4,33.3
266,Jamel Artis,51.3%,1.2,3.4,34.1
267,Jawun Evans,62.6%,1.3,3.4,36.7
268,Luke Kennard,52.9%,1.4,3.4,39.5
269,Devin Harris,61.1%,1.4,3.4,40.1
270,Tyus Jones,58.8%,1.3,3.4,37.3
271,Mario Chalmers,54.6%,1.1,3.4,31.5
272,Matthew Dellavedova,57.9%,1.1,3.4,33.9
273,Kobi Simmons,65.4%,1.5,3.4,45.2
274,Dante Cunningham,40.8%,1.4,3.3,42.6
275,Luke Babbitt,48.8%,1.3,3.3,39.5
276,Bobby Portis,43.2%,1.2,3.3,36.7
277,Travis Wear,51.0%,0.9,3.3,26.0
278,Nene,47.2%,1.0,3.3,31.2
279,Lance Stephenson,62.1%,1.3,3.3,40.4
280,Jerami Grant,44.1%,1.2,3.3,36.6
281,Lance Thomas,59.5%,1.1,3.3,33.3
282,Ivan Rabb,41.3%,1.4,3.3,43.4
283,Domantas Sabonis,30.5%,1.2,3.3,35.2
284,Jonathan Isaac,39.0%,1.0,3.3,31.5
285,Tim Frazier,60.1%,1.3,3.3,40.6
286,Dante Exum,56.8%,1.0,3.3,30.4
287,Malcolm Delaney,61.9%,1.2,3.3,37.8
288,Frank Mason,64.3%,1.2,3.3,37.8
289,Ian Clark,58.3%,0.9,3.3,28.9
290,Quincy Acy,43.3%,1.3,3.3,41.3
291,Rodney McGruder,62.7%,1.5,3.3,46.2
292,Royce O'Neale,56.1%,1.0,3.2,31.6
293,Michael Carter-Williams,57.2%,1.4,3.2,42.5
294,DeAndre' Bembry,51.0%,1.1,3.2,35.0
295,Wayne Selden,63.6%,1.1,3.2,33.9
296,Wes Iwundu,56.1%,1.0,3.2,31.5
297,Tyler Zeller,34.0%,1.4,3.2,42.5
298,Fred VanVleet,52.7%,1.2,3.2,38.0
299,Timothe Luwawu-Cabarrot,56.6%,1.0,3.2,32.9
300,Pau Gasol,30.9%,1.3,3.1,40.5
301,Paul Zipser,49.5%,1.3,3.1,42.7
302,Nerlens Noel,39.6%,1.2,3.1,39.3
303,Delon Wright,47.3%,1.0,3.1,31.3
304,Juancho Hernangomez,59.1%,1.1,3.1,33.8
305,Jordan Bell,38.6%,1.3,3.1,41.6
306,Vince Carter,53.9%,1.3,3.1,43.0
307,Semi Ojeleye,50.4%,0.9,3.1,30.3
308,Gorgui Dieng,38.1%,1.2,3.1,37.8
309,JaKarr Sampson,49.3%,1.2,3.1,38.8
310,Zach Collins,44.7%,1.3,3.0,44.1
311,Derrick Jones Jr.,52.2%,1.3,3.0,41.7
312,Vander Blue,81.8%,1.3,3.0,44.4
313,Treveon Graham,55.8%,1.1,3.0,37.3
314,Alex Abrines,51.2%,1.4,3.0,45.2
315,Corey Brewer,60.1%,1.1,3.0,38.1
316,Langston Galloway,58.8%,1.2,3.0,39.0
317,Alex Len,28.7%,1.2,2.9,41.9
318,Bam Adebayo,42.3%,1.1,2.9,37.6
319,Jonas Valanciunas,24.9%,1.3,2.9,43.5
320,Tyson Chandler,29.0%,1.1,2.9,38.5
321,Kyle O'Quinn,35.5%,1.1,2.9,38.6
322,Justin Anderson,60.8%,1.1,2.9,36.5
323,Sterling Brown,54.3%,1.1,2.9,37.7
324,Kyle Collinsworth,50.0%,1.3,2.9,44.0
325,Nick Young,55.5%,1.0,2.9,36.0
326,Troy Williams,57.9%,1.1,2.9,36.4
327,Josh Huestis,47.7%,0.9,2.9,30.6
328,Shane Larkin,62.4%,1.1,2.9,36.9
329,Kenneth Faried,43.0%,1.3,2.9,43.8
330,Noah Vonleh,41.9%,1.0,2.9,34.3
331,Jarrett Allen,28.1%,1.0,2.9,35.5
332,Mike Scott,50.1%,1.0,2.9,33.2
333,Dwight Buycks,59.2%,0.9,2.9,32.4
334,Davis Bertans,42.8%,0.9,2.9,31.9
335,Jalen Jones,66.1%,1.7,2.9,59.5
336,Manu Ginobili,55.0%,0.9,2.8,32.6
337,Aron Baynes,28.8%,0.8,2.8,29.8
338,David West,39.8%,1.0,2.8,35.0
339,Marreese Speights,40.2%,1.0,2.8,34.1
340,Tyler Ennis,54.2%,0.9,2.8,32.6
341,Chandler Parsons,51.7%,1.3,2.8,46.7
342,Cristiano Felicio,37.8%,1.0,2.8,36.5
343,Briante Weber,45.3%,1.4,2.8,51.3
344,Nik Stauskas,51.2%,1.0,2.8,35.9
345,Richaun Holmes,38.8%,1.0,2.8,35.9
346,Isaiah Whitehead,60.0%,0.8,2.8,27.8
347,Daniel Theis,35.1%,1.1,2.8,38.1
348,Shaun Livingston,54.2%,1.0,2.8,36.7
349,Tony Parker,59.8%,1.1,2.8,38.8
350,Ron Baker,63.3%,1.1,2.8,39.1
351,Josh Magette,56.0%,1.1,2.8,38.3
352,Derrick Rose,46.6%,1.1,2.8,40.6
353,Zaza Pachulia,35.6%,1.2,2.8,41.7
354,Solomon Hill,44.6%,1.2,2.8,42.4
355,Alex Caruso,50.3%,0.8,2.7,30.2
356,Raul Neto,52.7%,0.9,2.7,31.8
357,Jakob Poeltl,24.8%,1.0,2.7,36.1
358,Raymond Felton,52.0%,1.0,2.7,36.2
359,Cedi Osman,54.7%,0.9,2.7,35.4
360,Jonas Jerebko,50.4%,1.1,2.6,40.6
361,Jared Dudley,49.6%,1.0,2.6,36.9
362,Glenn Robinson III,49.6%,0.8,2.6,30.5
363,CJ Miles,56.6%,0.9,2.6,35.2
364,Patrick Patterson,44.0%,1.0,2.6,40.6
365,Channing Frye,38.7%,1.1,2.5,41.9
366,Richard Jefferson,69.4%,1.2,2.5,48.8
367,Khem Birch,33.5%,1.0,2.5,38.7
368,Markel Brown,58.8%,1.0,2.5,40.0
369,Josh Smith,83.3%,1.5,2.5,60.0
370,Jack Cooley,41.7%,0.7,2.5,26.7
371,Jason Terry,57.6%,0.8,2.5,32.5
372,Terrance Ferguson,55.2%,0.9,2.5,37.1
373,Jodie Meeks,56.0%,1.0,2.5,39.6
374,Derrick White,51.6%,0.5,2.5,18.8
375,Mirza Teletovic,45.8%,0.7,2.4,27.3
376,Hassan Whiteside,22.9%,1.1,2.4,45.5
377,Ian Mahinmi,34.7%,0.9,2.4,35.5
378,Ramon Sessions,63.0%,0.5,2.4,20.7
379,Okaro White,42.9%,0.6,2.4,25.0
380,Miles Plumlee,31.7%,1.0,2.4,42.4
381,Wade Baldwin IV,50.0%,1.2,2.4,50.0
382,Thon Maker,27.0%,0.9,2.4,39.6
383,Patrick McCaw,47.9%,0.9,2.4,36.3
384,Brice Johnson,55.3%,0.6,2.4,26.9
385,Jamal Crawford,63.9%,1.0,2.4,41.2
386,Greg Monroe,24.9%,0.9,2.4,39.8
387,Norman Powell,56.5%,0.9,2.4,38.6
388,Lorenzo Brown,68.3%,0.8,2.3,32.1
389,Malachi Richardson,68.3%,0.9,2.3,39.3
390,Gian Clavell,60.9%,1.0,2.3,42.9
391,Malcolm Miller,65.1%,0.7,2.3,28.6
392,Alec Burks,54.2%,1.1,2.3,46.9
393,Isaiah Hicks,39.4%,0.8,2.3,35.9
394,Henry Ellenson,46.3%,0.9,2.3,38.2
395,Kosta Koufos,30.5%,0.9,2.3,37.5
396,Tyler Cavanaugh,41.1%,1.0,2.2,44.7
397,Damyean Dotson,56.0%,0.7,2.2,30.3
398,JaVale McGee,38.5%,0.8,2.2,36.4
399,Jabari Bird,76.9%,0.9,2.2,40.0
400,Brandon Paul,58.8%,0.8,2.2,37.0
401,Ed Davis,27.4%,0.9,2.2,39.8
402,Arron Afflalo,55.9%,0.8,2.2,36.7
403,Tony Allen,53.2%,0.7,2.2,33.3
404,Andrew White III,63.3%,1.0,2.2,45.2
405,Bismack Biyombo,26.6%,0.9,2.2,42.2
406,Julyan Stone,57.9%,0.5,2.2,24.2
407,Johnathan Motley,37.9%,0.8,2.2,36.4
408,Omri Casspi,44.4%,0.6,2.2,29.1
409,Sam Dekker,49.2%,0.9,2.2,41.1
410,Ryan Arcidiacono,61.0%,0.6,2.2,28.0
411,Nigel Hayes,36.1%,0.5,2.2,23.1
412,Jahlil Okafor,29.7%,0.9,2.2,41.4
413,Jason Smith,51.7%,0.6,2.1,26.7
414,Ekpe Udoh,32.4%,0.7,2.1,33.1
415,Marcus Georges-Hunt,68.9%,0.8,2.1,39.2
416,Emeka Okafor,26.4%,1.0,2.1,49.1
417,Cody Zeller,31.8%,0.5,2.1,21.4
418,Alec Peters,50.7%,0.8,2.1,39.5
419,Sean Kilpatrick,57.4%,0.8,2.1,39.8
420,Abdel Nader,54.7%,0.9,2.1,41.4
421,Kay Felder,74.4%,0.6,2.1,27.6
422,Tarik Black,37.9%,0.7,2.1,34.0
423,Malik Monk,50.0%,0.8,2.1,38.1
424,Aaron Brooks,62.1%,0.8,2.1,39.0
425,Ivica Zubac,33.3%,0.8,2.0,37.0
426,Omer Asik,34.0%,0.5,2.0,26.5
427,Jonathan Gibson,57.1%,1.0,2.0,50.0
428,Darrun Hilliard,51.3%,0.8,2.0,40.0
429,Monte Morris,66.7%,0.3,2.0,16.7
430,Jeremy Evans,100.0%,0.0,2.0,0.0
431,Salah Mejri,33.0%,0.9,2.0,42.9
432,Joe Young,56.3%,0.4,2.0,22.4
433,DeAndre Liggins,47.7%,0.9,2.0,45.2
434,Luke Kornet,26.2%,0.8,2.0,38.5
435,Gary Payton II,45.3%,0.9,2.0,46.2
436,Timofey Mozgov,34.6%,0.9,1.9,46.4
437,Amir Johnson,26.3%,0.6,1.9,30.8
438,Milton Doyle,50.0%,0.4,1.9,23.5
439,Jon Leuer,26.3%,1.0,1.9,53.3
440,Quincy Pondexter,67.3%,0.7,1.9,35.1
441,Kadeem Allen,45.8%,0.5,1.8,27.3
442,Rashad Vaughn,52.9%,0.6,1.8,33.3
443,Cheick Diallo,30.3%,0.7,1.8,40.7
444,Willy Hernangomez,34.7%,0.8,1.8,42.3
445,Brandon Jennings,39.7%,0.9,1.8,47.8
446,Davon Reed,50.0%,0.7,1.8,37.8
447,Boban Marjanovic,38.2%,0.8,1.8,46.6
448,RJ Hunter,58.3%,0.0,1.8,0.0
449,Eric Moreland,29.3%,0.7,1.8,36.8
450,John Holland,50.0%,0.5,1.7,31.0
451,TJ Leaf,46.4%,0.6,1.7,37.2
452,Zhou Qi,40.3%,0.8,1.7,48.1
453,Jacob Wiley,41.7%,0.3,1.7,20.0
454,James Webb III,39.5%,0.4,1.7,26.7
455,London Perrantes,55.6%,0.7,1.7,40.0
456,Al Jefferson,25.8%,0.7,1.6,42.4
457,Furkan Korkmaz,60.0%,0.7,1.6,44.4
458,Lucas Nogueira,30.7%,0.7,1.6,40.0
459,Jordan Mickey,29.8%,0.7,1.6,44.1
460,Willie Reed,31.8%,0.6,1.6,38.1
461,Deyonta Davis,25.9%,0.6,1.6,39.8
462,Georgios Papagiannis,34.8%,0.7,1.6,45.8
463,James Young,42.1%,0.4,1.6,25.0
464,Damien Wilkins,52.3%,0.3,1.5,21.7
465,Guerschon Yabusele,43.2%,0.7,1.5,43.9
466,Malik Beasley,50.4%,0.6,1.5,41.5
467,Shabazz Muhammad,53.8%,0.6,1.5,37.5
468,Caleb Swanigan,49.3%,0.6,1.5,39.4
469,Dakari Johnson,45.8%,0.4,1.5,24.2
470,Joel Bolomboy,40.0%,0.8,1.5,50.0
471,Matt Costello,37.5%,1.0,1.5,66.7
472,Antonius Cleveland,52.5%,0.8,1.5,52.4
473,Tony Bradley,70.6%,0.9,1.5,58.3
474,Larry Drew II,48.0%,0.4,1.5,25.0
475,Josh McRoberts,100.0%,1.0,1.5,66.7
476,Derrick Walton Jr.,44.0%,0.5,1.5,36.4
477,Brandan Wright,30.2%,0.6,1.5,42.1
478,Alan Williams,30.4%,0.6,1.4,42.9
479,Johnny O'Bryant III,29.7%,0.7,1.4,53.1
480,Bobby Brown,64.3%,0.5,1.4,38.9
481,Joffrey Lauvergne,30.5%,0.6,1.4,46.8
482,Meyers Leonard,37.4%,0.7,1.4,54.1
483,Ante Zizic,27.8%,0.7,1.4,50.0
484,Jameel Warney,44.4%,0.3,1.3,25.0
485,Georges Niang,50.0%,0.7,1.3,50.0
486,Joakim Noah,42.1%,0.5,1.3,37.5
487,Adreian Payne,36.4%,0.3,1.3,25.0
488,Daniel Hamilton,72.7%,0.5,1.3,37.5
489,Alex Poythress,51.4%,0.4,1.3,27.8
490,Marshall Plumlee,31.6%,0.2,1.2,16.7
491,Jake Layman,51.2%,0.3,1.1,28.6
492,Jeff Withey,50.0%,0.3,1.1,30.0
493,Bruno Caboclo,31.3%,0.1,1.1,10.0
494,Andrew Bogut,27.8%,0.5,1.1,40.9
495,Demetrius Jackson,40.0%,0.4,1.1,33.3
496,Udonis Haslem,38.7%,0.3,1.1,25.0
497,Jordan Crawford,37.5%,0.3,1.0,33.3
498,Edmond Sumner,100.0%,1.0,1.0,100
499,Xavier Silas,33.3%,1.0,1.0,100
500,Scotty Hopson,100.0%,0.0,1.0,0.0
501,Nate Wolters,100.0%,0.5,1.0,50.0
502,Charles Cooke,63.6%,0.3,1.0,28.6
