,PLAYER,DREB,CONTEST_DREB%,DEFER_DREB_CHANCE,AVG_DREB_DIST
515,Victor Oladipo,4.6,22.4,0.6,6.7
516,Vince Carter,2.2,27.7,0.3,5.4
517,Vincent Hunter,0.3,100,0.0,5.7
518,Wade Baldwin IV,1.0,0.0,0.1,7.6
519,Walter Lemon Jr.,0.4,0.0,0.0,13.5
520,Wayne Ellington,2.5,11.9,0.3,8.4
521,Wayne Selden,1.1,27.5,0.1,10.8
522,Wes Iwundu,1.6,25.7,0.5,4.7
523,Wesley Johnson,2.5,23.0,0.3,7.2
524,Wesley Matthews,2.7,17.1,0.3,9.0
525,Will Barton,4.2,16.2,0.6,5.8
526,Willie Cauley-Stein,5.2,26.6,0.5,4.7
527,Willie Reed,2.0,31.4,0.3,4.8
528,Willy Hernangomez,2.5,31.1,0.4,4.1
529,Wilson Chandler,4.0,23.3,0.4,7.1
530,Xavier Munford,0.0,0.0,0.0,0.0
531,Xavier Rathan-Mayes,1.0,0.0,0.0,10.0
532,Xavier Silas,0.5,0.0,0.0,5.9
533,Yogi Ferrell,2.7,17.5,0.5,8.1
534,Zach Collins,2.7,31.8,0.3,5.1
535,Zach LaVine,3.5,18.8,0.3,6.7
536,Zach Randolph,5.1,27.0,0.6,4.3
537,Zaza Pachulia,3.3,26.5,0.4,4.3
538,Zhou Qi,0.9,50.0,0.1,4.7
