,PLAYER,DREB,CONTEST_DREB%,DEFER_DREB_CHANCE,AVG_DREB_DIST
118,Dennis Smith Jr.,3.0,16.2,0.6,7.5
119,Denzel Valentine,4.5,18.3,0.7,6.0
120,Derrick Favors,4.6,38.1,0.6,4.7
121,Derrick Jones Jr.,0.9,0.0,0.1,7.4
122,Derrick Rose,0.9,27.3,0.2,9.7
123,Derrick Walton Jr.,0.9,21.4,0.3,8.5
124,Derrick White,1.2,38.1,0.1,4.9
125,Derrick Williams,0.5,0.0,0.0,3.5
126,Devin Booker,4.0,11.0,0.6,7.8
127,Devin Harris,1.6,22.6,0.3,8.5
128,Devin Robinson,3.0,33.3,0.0,5.6
129,Dewayne Dedmon,6.2,31.2,0.4,4.4
130,Deyonta Davis,2.8,32.6,0.4,4.8
131,Dillon Brooks,2.6,22.6,0.3,6.9
132,Dion Waiters,2.3,8.8,0.3,9.3
133,Dirk Nowitzki,5.4,34.6,0.6,4.3
134,Domantas Sabonis,5.5,33.4,0.6,4.1
135,Donovan Mitchell,3.1,18.0,0.4,8.4
136,Dorian Finney-Smith,2.5,26.4,0.7,4.8
137,Doug McDermott,2.0,25.2,0.4,6.5
138,Dragan Bender,3.9,24.0,0.7,4.8
139,Draymond Green,6.6,28.8,0.6,5.0
140,Dwayne Bacon,2.3,22.5,0.2,6.0
141,Dwight Buycks,1.0,10.3,0.3,8.2
142,Dwight Howard,9.3,31.3,0.8,3.8
143,Dwight Powell,3.9,26.9,0.6,5.3
144,Dwyane Wade,3.0,22.3,0.6,6.5
145,E'Twaun Moore,2.3,20.0,0.4,9.5
146,Ed Davis,5.0,31.1,0.7,4.0
147,Edmond Sumner,1.0,0.0,0.0,6.5
148,Ekpe Udoh,1.3,35.4,0.4,5.4
149,Elfrid Payton,3.3,12.4,0.3,8.0
150,Emeka Okafor,2.8,34.2,0.7,5.3
151,Emmanuel Mudiay,2.0,15.9,0.2,8.0
152,Enes Kanter,7.2,28.6,0.9,4.0
153,Eric Bledsoe,3.1,18.5,0.5,9.0
154,Eric Gordon,2.1,12.1,0.2,8.9
155,Eric Moreland,2.9,29.9,0.3,4.1
156,Erik McCree,0.3,0.0,0.0,0.8
157,Ersan Ilyasova,4.2,30.0,0.4,5.4
158,Evan Fournier,2.8,17.2,0.5,8.1
159,Evan Turner,2.7,27.6,0.6,5.7
160,Frank Kaminsky,3.1,18.2,0.5,6.1
161,Frank Mason,1.9,14.0,0.2,8.3
