,PLAYER,10FREQ,10DFGM,10DFGA,10DFG%
0,DeMarcus Cousins,59.7%,5.3,10.1,52.5
1,Clint Capela,60.3%,5.4,9.9,55.1
2,Rudy Gobert,60.2%,4.7,9.7,48.0
3,Nikola Jokic,58.9%,6.0,9.6,62.6
4,Myles Turner,67.7%,5.1,9.4,53.8
5,Karl-Anthony Towns,57.5%,5.2,9.0,57.0
6,Nikola Vucevic,62.3%,5.3,9.0,58.8
7,Luol Deng,69.2%,3.0,9.0,33.3
8,Jusuf Nurkic,64.3%,4.3,8.3,51.9
9,Andre Drummond,64.7%,4.5,8.2,54.5
10,Joel Embiid,57.3%,3.8,8.2,46.8
11,Anthony Davis,49.3%,3.9,8.1,47.6
12,Marc Gasol,63.0%,4.2,7.8,53.3
13,Marcin Gortat,61.5%,4.3,7.8,54.9
14,Jonas Valanciunas,65.8%,3.8,7.7,49.3
15,Hassan Whiteside,70.9%,3.7,7.6,48.9
16,Al Horford,49.1%,3.6,7.5,48.3
17,Enes Kanter,60.9%,4.1,7.5,54.7
18,Kristaps Porzingis,48.1%,3.6,7.5,48.0
19,Steven Adams,48.6%,3.8,7.4,50.5
20,Jakob Poeltl,68.4%,3.6,7.4,48.1
21,John Henson,61.5%,4.0,7.3,54.2
22,Kevin Love,60.5%,4.2,7.3,58.4
23,Paul Millsap,50.9%,3.4,7.2,47.6
24,Robin Lopez,56.9%,3.6,6.8,53.0
25,Brook Lopez,57.0%,3.3,6.8,48.8
26,Domantas Sabonis,63.2%,3.6,6.8,52.5
27,John Collins,61.1%,3.5,6.7,51.5
28,Alex Len,65.1%,3.5,6.7,52.1
29,LaMarcus Aldridge,48.8%,3.1,6.6,46.8
30,Draymond Green,46.6%,3.4,6.6,51.0
31,Derrick Favors,54.8%,3.3,6.6,49.8
32,Greg Monroe,68.6%,3.7,6.5,56.9
33,Tyson Chandler,63.4%,3.7,6.4,56.9
34,Jarrett Allen,61.9%,3.3,6.3,51.8
35,Tobias Harris,44.6%,3.8,6.3,60.3
36,DeAndre Jordan,51.4%,3.3,6.2,53.6
37,Dwight Howard,55.1%,3.4,6.2,54.0
38,Julius Randle,54.6%,3.3,6.2,53.6
39,Giannis Antetokounmpo,49.1%,3.1,6.1,51.6
40,Pau Gasol,59.6%,2.9,6.1,48.2
41,Thon Maker,68.3%,3.4,6.0,56.2
42,Aron Baynes,60.6%,3.2,6.0,53.1
43,Nikola Mirotic,50.6%,3.2,5.8,55.7
44,Dragan Bender,47.0%,3.0,5.7,52.3
45,Taj Gibson,43.5%,3.2,5.6,58.0
46,Aaron Gordon,50.1%,3.1,5.6,55.3
47,Al-Farouq Aminu,47.5%,2.9,5.5,52.1
48,Bismack Biyombo,67.0%,2.8,5.5,50.3
49,Blake Griffin,39.1%,3.1,5.5,56.4
50,DeMarre Carroll,47.8%,3.1,5.4,56.6
51,Dirk Nowitzki,56.7%,3.1,5.4,56.6
52,Rondae Hollis-Jefferson,49.3%,3.1,5.4,57.5
53,Ed Davis,66.1%,2.8,5.4,51.9
54,Lauri Markkanen,49.9%,3.0,5.4,55.2
55,Marquese Chriss,53.4%,2.8,5.3,53.1
56,Kevin Durant,44.3%,2.8,5.3,53.0
57,Tyler Zeller,56.5%,2.9,5.3,54.2
58,Serge Ibaka,49.3%,2.8,5.2,54.0
59,Kelly Olynyk,53.3%,3.1,5.2,58.8
60,Zach Randolph,54.6%,3.5,5.2,66.4
61,Danilo Gallinari,43.1%,2.8,5.2,53.2
62,Dario Saric,45.0%,2.8,5.1,54.8
63,Kyle Kuzma,47.0%,2.8,5.1,55.1
64,Larry Nance Jr.,54.1%,3.0,5.1,58.0
65,Mason Plumlee,53.8%,2.6,5.0,51.1
66,Willie Cauley-Stein,47.0%,2.7,5.0,53.8
67,Jeremy Lin,55.6%,5.0,5.0,100
68,Luke Kornet,67.1%,2.7,5.0,54.0
69,Jon Leuer,70.2%,3.0,5.0,60.0
70,Emeka Okafor,62.0%,2.4,5.0,47.3
71,Andrew Wiggins,37.1%,3.1,4.9,63.0
72,Dewayne Dedmon,46.6%,2.6,4.9,51.9
73,Skal Labissiere,53.7%,2.9,4.9,58.6
74,Tristan Thompson,47.6%,2.9,4.9,59.6
75,Paul George,39.9%,3.2,4.9,65.1
76,Markieff Morris,48.1%,2.9,4.9,59.4
77,LeBron James,43.6%,2.5,4.8,51.9
78,James Harden,38.9%,2.9,4.8,59.5
79,Kyle O'Quinn,58.2%,2.4,4.8,50.3
80,Amir Johnson,65.4%,2.5,4.8,51.3
81,Danny Green,43.5%,2.8,4.8,58.2
82,Mike Muscala,50.3%,2.6,4.8,54.7
83,Ersan Ilyasova,50.4%,2.6,4.8,53.3
84,Lonzo Ball,41.0%,2.4,4.7,51.5
85,Thaddeus Young,37.0%,2.9,4.7,60.6
86,Jonathan Isaac,55.3%,2.7,4.7,57.1
87,Kosta Koufos,62.7%,2.5,4.6,52.9
88,Daniel Theis,58.7%,2.4,4.6,51.7
89,Carmelo Anthony,41.6%,2.9,4.6,62.9
90,Chris Paul,44.6%,2.8,4.6,60.6
91,Khem Birch,60.1%,2.4,4.5,52.1
