,PLAYER,6FREQ,6DFGM,6DFGA,6DFG%
114,Jordan Mickey,58.8%,1.8,3.2,56.7
115,Ryan Anderson,35.1%,2.0,3.2,61.8
116,Dion Waiters,29.9%,2.2,3.2,68.5
117,Josh Hart,31.3%,2.0,3.1,64.9
118,Brandon Ingram,28.4%,2.1,3.1,66.1
119,Maxi Kleber,37.4%,2.0,3.1,63.4
120,Klay Thompson,29.8%,1.9,3.1,62.8
121,Luc Mbah a Moute,34.4%,2.0,3.1,62.9
122,Eric Moreland,51.7%,1.8,3.1,58.2
123,Richaun Holmes,43.0%,1.8,3.1,57.0
124,Marvin Williams,33.7%,2.0,3.1,66.0
125,Cristiano Felicio,41.6%,2.0,3.1,66.3
126,Al Jefferson,48.5%,2.0,3.1,64.0
127,Jrue Holiday,21.6%,2.1,3.1,66.7
128,Bradley Beal,26.6%,2.1,3.1,69.4
129,James Johnson,31.5%,1.9,3.1,60.1
130,Cheick Diallo,52.0%,1.9,3.1,63.5
131,Jeff Green,31.9%,1.9,3.0,61.6
132,Jerami Grant,40.4%,1.6,3.0,51.7
133,Montrezl Harrell,35.4%,1.7,3.0,57.0
134,Taurean Prince,30.2%,1.9,3.0,64.3
135,Omer Asik,51.0%,1.9,3.0,64.7
136,Frank Kaminsky,31.1%,1.9,3.0,62.2
137,Josh Richardson,26.5%,1.7,3.0,56.4
138,Marreese Speights,42.6%,1.8,3.0,60.1
139,Cody Zeller,44.5%,1.8,3.0,59.2
140,Dante Cunningham,36.3%,1.9,3.0,63.5
141,Michael Beasley,35.6%,1.7,3.0,58.3
142,Kris Dunn,27.0%,2.0,3.0,68.2
143,Khris Middleton,27.8%,2.0,3.0,67.5
144,Evan Fournier,30.9%,2.0,2.9,68.9
145,Jamal Murray,27.8%,2.1,2.9,71.4
146,Ian Mahinmi,42.0%,1.7,2.9,56.9
147,Justise Winslow,30.6%,1.8,2.9,60.5
148,Malcolm Brogdon,30.6%,2.0,2.9,67.2
149,Jonathon Simmons,32.4%,1.8,2.9,61.5
150,Wesley Johnson,34.8%,1.9,2.9,65.4
151,Will Barton,31.1%,1.8,2.9,62.8
152,Marcus Morris,32.1%,2.1,2.9,72.7
153,Dennis Smith Jr.,27.4%,2.1,2.9,71.9
154,Anthony Tolliver,33.1%,1.6,2.9,54.4
155,Salah Mejri,47.2%,1.5,2.9,51.9
156,David West,40.4%,1.5,2.9,53.4
157,Eric Bledsoe,28.1%,1.8,2.9,62.0
158,Kyle Lowry,26.1%,1.7,2.8,60.7
159,Harrison Barnes,26.5%,1.9,2.8,66.1
160,Elfrid Payton,26.8%,1.9,2.8,68.0
161,Terrence Ross,33.3%,1.7,2.8,60.3
162,Ivica Zubac,46.1%,1.6,2.8,55.4
163,Jae Crowder,30.4%,1.8,2.8,63.6
164,Jahlil Okafor,39.0%,1.6,2.8,56.6
165,Gerald Green,37.1%,1.9,2.8,67.0
166,Tyrone Wallace,26.3%,1.9,2.8,69.1
167,Buddy Hield,30.4%,2.0,2.8,70.5
168,Kawhi Leonard,37.3%,1.4,2.8,52.0
169,Kenneth Faried,41.5%,1.8,2.8,65.1
170,E'Twaun Moore,28.0%,1.9,2.8,67.9
171,Devin Booker,25.7%,1.9,2.8,67.1
172,Rudy Gay,33.9%,1.5,2.8,52.9
173,Mario Hezonja,31.1%,1.8,2.7,65.3
174,Tim Hardaway Jr.,25.5%,1.8,2.7,67.7
175,Dejounte Murray,31.3%,1.7,2.7,64.2
176,Kyle Anderson,33.6%,1.8,2.7,67.7
177,Kevon Looney,35.0%,1.4,2.7,52.1
178,Dillon Brooks,25.3%,2.0,2.7,75.3
179,Davis Bertans,40.1%,1.5,2.7,55.9
180,Justin Holiday,24.5%,1.7,2.7,64.1
181,Channing Frye,40.8%,1.8,2.7,66.2
182,Marquis Teague,29.6%,2.0,2.7,75.0
183,Josh Jackson,32.7%,1.6,2.7,59.5
184,Milos Teodosic,30.5%,1.8,2.7,69.2
185,Bam Adebayo,38.2%,1.4,2.7,52.2
