,PLAYER,6FREQ,6DFGM,6DFGA,6DFG%
500,Richard Jefferson,16.1%,0.4,0.6,60.0
501,Jabari Bird,19.2%,0.2,0.6,40.0
502,Ben Moore,50.0%,0.5,0.5,100
503,Matt Williams Jr.,50.0%,0.0,0.5,0.0
504,Jacob Pullen,33.3%,0.5,0.5,100
505,Luis Montero,33.3%,0.0,0.5,0.0
506,Xavier Munford,28.6%,0.3,0.5,50.0
507,Nicolas Brussino,33.3%,0.5,0.5,100
508,Vincent Hunter,25.0%,0.0,0.5,0.0
509,Kay Felder,17.9%,0.4,0.5,71.4
510,Jonathan Gibson,14.3%,0.5,0.5,100
511,Bobby Brown,21.4%,0.4,0.5,83.3
512,Charles Cooke,27.3%,0.3,0.4,66.7
513,Cole Aldrich,27.8%,0.3,0.4,80.0
514,Lorenzo Brown,12.2%,0.3,0.4,60.0
515,Tony Bradley,17.6%,0.1,0.4,33.3
516,Tim Quarterman,25.0%,0.0,0.3,0.0
517,Kyle Singler,18.2%,0.3,0.3,100
518,Vander Blue,9.1%,0.0,0.3,0.0
519,Georges Niang,12.5%,0.3,0.3,100
520,David Stockton,20.0%,0.3,0.3,100
521,Monte Morris,11.1%,0.0,0.3,0.0
522,Marcus Paige,16.7%,0.3,0.3,100
523,Daniel Hamilton,9.1%,0.2,0.2,100
