,Feature,Importance,Cluster Average,League Average
0,DREB,-0.34554924989237934,2.539130434782609,3.5913793103448266
1,DEFL,-0.3298691588495196,1.7579710144927534,1.5072413793103456
2,LB_REC,-0.3295643588252551,1.0231884057971012,0.88551724137931
3,DREB%,-0.29491075388926746,9.530434782608696,13.83655172413793
4,%DREB,-0.288382331260865,13.905797101449277,20.024482758620692
5,CONT_2PT,-0.26139611973934285,2.4333333333333327,4.1296551724137895
6,DIST_MI_DEF,-0.2539746891683332,0.8536231884057971,0.8403448275862072
7,6FREQ,-0.21737031097995213,68.77826086956522,63.68655172413796
8,STL%,-0.1889416985659686,23.434782608695645,19.681379310344827
9,%BLK,-0.1810017359871181,9.27246376811594,19.42103448275861
10,CONT_3PT,-0.17232229357102352,2.1536231884057973,2.3627586206896534
11,CONTEST_DREB%,-0.12837776563594502,13.253623188405802,22.386206896551716
12,10to15DFG%,-0.051504465597931155,37.81884057971015,37.579655172413794
13,10to15FREQ,-0.004947144215537369,0.38000365173913037,0.398871252144828
14,6to10FREQ,0.03271852764935211,0.42773297556521733,0.40567504895172446
15,AVG_SPEED_DEF,0.11507726267793016,3.9882608695652166,4.004448275862068
16,6to10DFG%,0.18027115646083866,9.92173913043478,8.048620689655172
17,6DFG%,0.1998037753989168,9.379710144927538,10.233448275862061
18,AVG_DREB_DIST,0.2624853695736173,8.91014492753623,6.753793103448275
