,Unnamed: 0_x,Feature,Importance_x,Cluster Average_x,League Average_x,Unnamed: 0_y,Importance_y,Cluster Average_y,League Average_y,Unnamed: 0_x,Importance_x,Cluster Average_x,League Average_x,Unnamed: 0_y,Importance_y,Cluster Average_y,League Average_y,Unnamed: 0_x,Importance_x,Cluster Average_x,League Average_x,Unnamed: 0_y,Importance_y,Cluster Average_y,League Average_y,Unnamed: 0,Importance,Cluster Average,League Average
0,0,AVG_SPEED_DEF,-0.29282189336033404,3.9860000000000015,4.004448275862068,1,-0.18475184738447475,4.091538461538463,4.004448275862068,2,-0.1286592163807536,4.030757575757575,4.004448275862068,12,-0.0007943230523044285,4.032682926829266,4.004448275862068,17,0.2030281250045756,3.911666666666666,4.004448275862068,15,0.055043640186323836,3.9693333333333327,4.004448275862068,2,-0.1282476157529142,3.9753488372093035,4.004448275862068
1,1,6FREQ,-0.2051541887008637,57.588571428571434,63.68655172413796,8,0.11360420507290055,66.86666666666665,63.68655172413796,10,0.19496276124819853,68.22121212121212,63.68655172413796,10,-0.16685034521427455,62.90975609756099,63.68655172413796,12,0.01748281040716744,57.11666666666667,63.68655172413796,8,-0.17566280749014485,69.38000000000001,63.68655172413796,10,0.19800184176386287,61.07441860465117,63.68655172413796
2,2,6DFG%,-0.18339112671222516,11.965714285714286,10.233448275862061,5,-0.04006881072887564,7.9743589743589745,10.233448275862061,1,-0.14435544241087514,9.230303030303034,10.233448275862061,14,0.0205947266295192,9.943902439024386,10.233448275862061,9,-0.1283978314785307,13.633333333333335,10.233448275862061,16,0.22342403439968736,9.153333333333334,10.233448275862061,5,-0.09943599031676363,10.595348837209302,10.233448275862061
3,3,6to10FREQ,-0.13583319446431438,0.3891570409142857,0.4056750489517245,3,-0.13029186580631055,0.4056369557179487,0.4056750489517245,3,-0.12793509689600369,0.4171324046515151,0.4056750489517245,16,0.07549793995712344,0.3822348383170733,0.4056750489517245,16,0.09428686694356332,0.3938406878055557,0.4056750489517245,14,-0.10304979302110516,0.4306845006666667,0.4056750489517245,1,-0.15563028541442356,0.41637813097674414,0.4056750489517245
4,4,CONTEST_DREB%,-0.08814442912970026,31.382857142857137,22.38620689655172,7,-0.011118083442916907,20.87948717948718,22.38620689655172,7,0.07586181045591553,15.027272727272734,22.38620689655172,15,0.032961511921076714,21.063414634146344,22.38620689655172,13,0.051054629382189104,34.09722222222222,22.38620689655172,6,-0.2273339877758475,11.246666666666668,22.38620689655172,3,-0.11874206691326597,26.95348837209303,22.38620689655172
5,5,6to10DFG%,-0.057566794441505136,7.151428571428572,8.048620689655174,6,-0.01342327726106253,7.061538461538461,8.048620689655174,4,-0.06448663935637458,8.757575757575758,8.048620689655174,11,-0.06553508664266845,8.02439024390244,8.048620689655174,15,0.08105123234240688,7.611111111111112,8.048620689655174,18,0.28176917270364416,10.890000000000002,8.048620689655174,6,-0.0601509133247137,6.993023255813951,8.048620689655174
6,6,10to15FREQ,-0.03541130306243847,0.4105996385142857,0.39887125214482794,0,-0.2117011734811587,0.4131599881538462,0.39887125214482794,5,-0.0564954105760808,0.3845640049999999,0.39887125214482794,17,0.12063708931510375,0.4227448702682926,0.39887125214482794,14,0.07654597208102516,0.3794547954722222,0.39887125214482794,11,-0.1444126573639535,0.39124079623333335,0.39887125214482794,4,-0.11786819411433927,0.397141295372093,0.39887125214482794
7,7,10to15DFG%,-0.01286815983262585,37.78571428571427,37.57965517241379,2,-0.1333189532539102,35.73333333333333,37.57965517241379,6,0.002498999781768605,38.04848484848487,37.57965517241379,13,0.008568867073596645,37.96341463414634,37.57965517241379,11,-0.02053135217497536,39.22777777777778,37.57965517241379,13,-0.1377722707464685,37.92333333333333,37.57965517241379,7,-0.050359627582993234,36.38139534883721,37.57965517241379
8,8,AVG_DREB_DIST,0.01483063401634815,5.00857142857143,6.753793103448276,4,-0.116871468591354,7.223076923076924,6.753793103448276,0,-0.2608641132418089,8.280303030303031,6.753793103448276,18,0.2455484882362244,6.795121951219512,6.753793103448276,18,0.211103563871123,4.269444444444444,6.753793103448276,17,0.2518062109269239,9.47,6.753793103448276,0,-0.16516163633183484,5.551162790697675,6.753793103448276
9,9,%DREB,0.04433493210136818,26.52,20.024482758620685,13,0.2967340017296685,15.279487179487178,20.024482758620685,14,0.3124091456282736,14.403030303030304,20.024482758620685,3,-0.3180128493214823,18.326829268292684,20.024482758620685,5,-0.3130285089905488,32.97777777777777,20.024482758620685,10,-0.15830661783219352,12.77,20.024482758620685,14,0.2944008873911031,23.50465116279069,20.024482758620685
10,10,DREB%,0.044972333152010005,18.431428571428572,13.83655172413793,12,0.2951558595621884,10.487179487179487,13.83655172413793,15,0.31641832974259365,9.901515151515154,13.83655172413793,2,-0.32355859571301826,12.675609756097565,13.83655172413793,4,-0.3227510052808589,22.927777777777766,13.83655172413793,9,-0.16650282027971336,8.753333333333332,13.83655172413793,12,0.283662187912237,16.216279069767438,13.83655172413793
11,11,STL%,0.05179589142839407,17.208571428571428,19.681379310344827,10,0.19738887011850045,20.156410256410254,19.681379310344827,11,0.23446693365450105,22.09696969696969,19.681379310344827,8,-0.2528508680505234,20.853658536585368,19.681379310344827,6,-0.2596796649601689,15.166666666666664,19.681379310344827,12,-0.1425860306330392,24.436666666666664,19.681379310344827,8,0.12119153005128384,16.900000000000002,19.681379310344827
