,Feature,Importance,Cluster Average,League Average
0,AVG_SPEED_DEF,-0.29282189336033404,3.9860000000000015,4.004448275862068
1,6FREQ,-0.2051541887008637,57.588571428571434,63.68655172413796
2,6DFG%,-0.18339112671222513,11.965714285714283,10.233448275862061
3,6to10FREQ,-0.13583319446431438,0.3891570409142857,0.40567504895172446
4,CONTEST_DREB%,-0.08814442912970026,31.382857142857137,22.386206896551716
5,6to10DFG%,-0.05756679444150514,7.151428571428572,8.048620689655172
6,10to15FREQ,-0.03541130306243847,0.4105996385142857,0.398871252144828
7,10to15DFG%,-0.012868159832625852,37.78571428571427,37.579655172413794
8,AVG_DREB_DIST,0.01483063401634815,5.00857142857143,6.753793103448275
9,%DREB,0.04433493210136818,26.52,20.024482758620692
10,DREB%,0.044972333152010005,18.43142857142857,13.83655172413793
11,STL%,0.05179589142839407,17.208571428571428,19.681379310344827
12,%BLK,0.075963735070131,33.36285714285714,19.42103448275861
13,DEFL,0.28107588190431776,1.2285714285714284,1.5072413793103456
14,LB_REC,0.3157456054793733,0.7485714285714284,0.88551724137931
15,DREB,0.3458969360628893,4.359999999999999,3.5913793103448266
16,CONT_2PT,0.3568595621025819,6.097142857142856,4.1296551724137895
17,DIST_MI_DEF,0.3809489751299153,0.7582857142857143,0.8403448275862072
18,CONT_3PT,0.39611480716482234,2.3200000000000003,2.3627586206896534
