,Feature,Importance,Cluster Average,League Average
0,DREB,-0.39312523092212714,5.938461538461539,3.5913793103448266
1,LB_REC,-0.34265650692256144,0.7564102564102563,0.88551724137931
2,DIST_MI_DEF,-0.33764585385659746,0.7961538461538461,0.8403448275862072
3,DREB%,-0.33560417819529575,22.93333333333333,13.83655172413793
4,DEFL,-0.3324672062328778,1.164102564102564,1.5072413793103456
5,%DREB,-0.3256504487157015,32.99487179487179,20.024482758620692
6,STL%,-0.23516098893481527,15.323076923076924,19.681379310344827
7,CONT_3PT,-0.2320982389672036,1.6615384615384612,2.3627586206896534
8,CONT_2PT,-0.17745538293647786,7.879487179487181,4.1296551724137895
9,6DFG%,-0.14511014293574892,13.579487179487183,10.233448275862061
10,10to15DFG%,-0.07320902051655881,39.14871794871795,37.579655172413794
11,%BLK,-0.02860329814751997,41.96153846153845,19.42103448275861
12,6FREQ,0.022929164467008628,57.248717948717946,63.68655172413796
13,10to15FREQ,0.051477407801991046,0.37549999030769227,0.398871252144828
14,6to10FREQ,0.07319843494706495,0.3927133672307693,0.40567504895172446
15,6to10DFG%,0.08846508473395255,7.551282051282051,8.048620689655172
16,CONTEST_DREB%,0.0902186224875407,34.394871794871804,22.386206896551716
17,AVG_SPEED_DEF,0.2022634042142662,3.9253846153846155,4.004448275862068
18,AVG_DREB_DIST,0.2104544074388967,4.269230769230769,6.753793103448275
