,Feature,Importance,Cluster Average,League Average
0,CONT_2PT,-0.31297355494926304,2.479999999999999,4.1296551724137895
1,DREB,-0.3022795086325216,2.363333333333334,3.5913793103448266
2,LB_REC,-0.2970281487349814,1.0600000000000003,0.88551724137931
3,DEFL,-0.2757020847688336,1.84,1.5072413793103456
4,DIST_MI_DEF,-0.257013226655019,0.874,0.8403448275862072
5,%BLK,-0.24630683708136522,8.62,19.42103448275861
6,CONTEST_DREB%,-0.2273339877758475,11.246666666666668,22.386206896551716
7,CONT_3PT,-0.1777791316928517,2.093333333333333,2.3627586206896534
8,6FREQ,-0.17566280749014485,69.38000000000001,63.68655172413796
9,DREB%,-0.16650282027971336,8.753333333333332,13.83655172413793
10,%DREB,-0.15830661783219352,12.77,20.024482758620692
11,10to15FREQ,-0.1444126573639535,0.39124079623333335,0.398871252144828
12,STL%,-0.1425860306330392,24.436666666666664,19.681379310344827
13,10to15DFG%,-0.1377722707464685,37.92333333333333,37.579655172413794
14,6to10FREQ,-0.10304979302110516,0.4306845006666667,0.40567504895172446
15,AVG_SPEED_DEF,0.05504364018632384,3.9693333333333327,4.004448275862068
16,6DFG%,0.22342403439968736,9.153333333333334,10.233448275862061
17,AVG_DREB_DIST,0.2518062109269239,9.47,6.753793103448275
18,6to10DFG%,0.28176917270364416,10.890000000000002,8.048620689655172
