,Feature,Importance,Cluster Average,League Average
0,AVG_DREB_DIST,-0.16516163633183484,5.551162790697675,6.753793103448275
1,6to10FREQ,-0.15563028541442356,0.41637813097674414,0.40567504895172446
2,AVG_SPEED_DEF,-0.1282476157529142,3.975348837209303,4.004448275862068
3,CONTEST_DREB%,-0.11874206691326598,26.95348837209303,22.386206896551716
4,10to15FREQ,-0.11786819411433927,0.397141295372093,0.398871252144828
5,6DFG%,-0.09943599031676362,10.595348837209302,10.233448275862061
6,6to10DFG%,-0.060150913324713694,6.9930232558139505,8.048620689655172
7,10to15DFG%,-0.05035962758299323,36.38139534883721,37.579655172413794
8,STL%,0.12119153005128383,16.900000000000002,19.681379310344827
9,%BLK,0.16583096756599394,19.783720930232565,19.42103448275861
10,6FREQ,0.19800184176386287,61.07441860465117,63.68655172413796
11,CONT_3PT,0.27624527429199147,2.5767441860465126,2.3627586206896534
12,DREB%,0.283662187912237,16.21627906976744,13.83655172413793
13,CONT_2PT,0.28666295345984016,4.446511627906977,4.1296551724137895
14,%DREB,0.2944008873911031,23.50465116279069,20.024482758620692
15,DEFL,0.3186635477455328,1.2302325581395346,1.5072413793103456
16,DIST_MI_DEF,0.325586366118197,0.8069767441860467,0.8403448275862072
17,LB_REC,0.3496337684639206,0.8116279069767445,0.88551724137931
18,DREB,0.37432806162816296,4.062790697674418,3.5913793103448266
